"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10003025",3.0785846463834,5.59625307239295,315.014508754419,5.50774153212289e-13,5.77945678104096e-10,FALSE,"BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA02003650",3.10638726257783,6.3664372236097,213.763476276061,1.53160279821749e-11,4.38316873526243e-09,FALSE,"BraA02003650","AT3G26710","CCB1","cofactor assembly of complex C","-","-"
"BraA03002283",3.14102077543965,3.80753777699091,168.939762879537,1.1021409024363e-10,1.29460431375727e-08,FALSE,"BraA03002283","AT2G40890","CYP98A3","cytochrome P450, family 98, subfamily A, polypeptide 3","-","YES"
"BraA09004431",3.1399283675183,5.40546907880878,157.047767728479,2.01597787708445e-10,1.71041364483052e-08,FALSE,"BraA09004431","AT3G50240","KICP-02","ATP binding microtubule motor family protein","-","-"
"BraA01001464",3.30842017691636,4.68631143329493,152.387216829748,2.5833156328427e-10,1.9948507182664e-08,FALSE,"BraA01001464","AT4G22990","AT4G22990","Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","-","-"
"BraA03004376",3.00995371857478,8.01377368113886,147.949040977555,3.29244011296139e-10,2.30768405635397e-08,FALSE,"BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA06003462",4.75921154158398,2.980087146556,146.070405956903,3.65563526227417e-10,2.43812284017777e-08,FALSE,"BraA06003462","AT2G17640","ATSERAT3;1","Trimeric LpxA-like enzymes superfamily protein","-","-"
"BraA08002262",3.0091049003367,7.99870983466408,142.554402659861,4.46107329062464e-10,2.68004937383328e-08,FALSE,"BraA08002262","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA01002266",3.17143818507316,5.9640333004982,136.374201657572,6.399709416813e-10,3.39163051247935e-08,FALSE,"BraA01002266","AT4G15810","AT4G15810","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA07004037",3.04890276817274,7.35735177356411,136.267840247171,6.44039191035952e-10,3.39281438754305e-08,FALSE,"BraA07004037","AT1G78510","SPS1","solanesyl diphosphate synthase 1","-","-"
"BraA01004546",3.73020067225028,4.44652212626738,135.78751905234,6.62771976401768e-10,3.46579099952287e-08,FALSE,"BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA05004187",3.15562227929209,6.98535797032577,127.383404504359,1.11121337797167e-09,4.91306139586351e-08,FALSE,"BraA05004187","AT3G08740","AT3G08740","elongation factor P (EF-P) family protein","-","-"
"BraA04001609",3.31358989901339,5.92126373862695,123.248396192331,1.44897131186249e-09,5.89986591040677e-08,FALSE,"BraA04001609","AT2G22360","AT2G22360","DNAJ heat shock family protein","-","-"
"BraA01001633",3.37635505547082,3.92059374723465,117.3492070453,2.14542928751245e-09,7.79885842620001e-08,FALSE,"BraA01001633","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA06003398",3.02976911235903,6.86821184043409,114.508547538517,2.6078295888078e-09,9.00158722101641e-08,FALSE,"BraA06003398","AT2G18940","AT2G18940","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03004902",3.07622992873898,6.5171375334639,110.963280320515,3.34713348240618e-09,1.06830996909988e-07,FALSE,"BraA03004902","AT3G52380","CP33","chloroplast RNA-binding protein 33","-","YES"
"BraA07003002",3.26588990405324,4.48338797532442,108.84629874813,3.89796517407414e-09,1.17311609636572e-07,FALSE,"BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraSca000621",3.04783193057743,3.20483800710541,104.529277206184,5.36142522724019e-09,1.42327526582945e-07,FALSE,"BraSca000621","AT1G44835","AT1G44835","YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein","-","-"
"BraA10000699",3.11253508138681,3.54090466334451,104.527481154917,5.36214887316941e-09,1.42327526582945e-07,FALSE,"BraA10000699","AT1G45688","AT1G45688","transmembrane protein","-","-"
"BraA06001089",4.27113779513859,4.51649974095735,104.075406746315,5.54778800835024e-09,1.46268313653991e-07,FALSE,"BraA06001089","AT1G48600","PMEAMT","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA09004633",3.20627053721949,4.40905241121671,103.05445649626,5.99383320915702e-09,1.53403145873385e-07,FALSE,"BraA09004633","AT3G52230","AT3G52230","hypothetical protein","-","-"
"BraA10002000",3.00273094356513,4.57291882422706,102.596624729911,6.20666190014917e-09,1.57551564593162e-07,FALSE,"BraA10002000","AT5G17560","AT5G17560","BolA-like family protein","-","-"
"BraA10000999",3.22052240716071,3.7369029768104,101.270827670709,6.87177298157038e-09,1.68951562538447e-07,FALSE,"BraA10000999","AT5G54390","HL","HAL2-like protein","-","-"
"BraA04003228",3.14093001908131,7.23408511017638,97.1614044703971,9.49114163770076e-09,2.09298587174212e-07,FALSE,"BraA04003228","AT2G45440","DHDPS2","dihydrodipicolinate synthase","-","-"
"BraA03005522",3.11787176020346,8.26571667060509,96.9543570482042,9.64978373894782e-09,2.10734556060004e-07,FALSE,"BraA03005522","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA03005543",3.55806173443633,7.72535855093227,95.1772503128767,1.11391313559407e-08,2.34164101502749e-07,FALSE,"BraA03005543","AT4G24770","RBP31","31-kDa RNA binding protein","-","YES"
"BraA05000177",3.17496427137427,3.96318823353351,94.3201183978594,1.19472969513827e-08,2.45817586947403e-07,FALSE,"BraA05000177","AT2G46915","AT2G46915","DUF3754 family protein, putative (DUF3754)","-","-"
"BraA01004770",3.08848139243594,6.02478240530077,92.3459277224118,1.4067941189004e-08,2.74500147762132e-07,FALSE,"BraA01004770","AT3G01060","AT3G01060","lysine-tRNA ligase","-","-"
"BraA04001955",3.04660910265549,6.12246348781429,90.9691672264992,1.5793525351551e-08,2.98610711811807e-07,FALSE,"BraA04001955","AT2G26910","ABCG32","pleiotropic drug resistance 4","-","-"
"BraA03005961",4.20196436053521,3.70906510406308,90.3319641999455,1.66706545835474e-08,3.10160878422028e-07,FALSE,"BraA03005961","AT4G30470","AT4G30470","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA10003061",3.79033466763896,5.29810995559699,90.0303727388706,1.71045405968308e-08,3.16363653342088e-07,FALSE,"BraA10003061","AT5G03300","ADK2","adenosine kinase 2","-","-"
"BraA07000495",3.41863124835323,5.84829875413098,89.1106925388885,1.85069242301559e-08,3.32533090619468e-07,FALSE,"BraA07000495","AT2G15820","OTP51","endonuclease","-","-"
"BraA08002956",3.64567431024465,4.18401809959253,85.3005234407326,2.58433059144035e-08,4.17203728300217e-07,FALSE,"BraA08002956","AT1G26090","AT1G26090","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA01004592",3.29895650435835,7.62215147343665,85.0356231139668,2.64624414604661e-08,4.24585961863136e-07,FALSE,"BraA01004592","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA06004294",3.07539242556862,6.01115610540215,83.3357027501424,3.08498079857286e-08,4.80768294747889e-07,FALSE,"BraA06004294","AT3G26710","CCB1","cofactor assembly of complex C","-","-"
"BraA06004627",3.22409085020298,6.4137720013776,82.1849973036406,3.42762986918095e-08,5.16276498956058e-07,FALSE,"BraA06004627","AT5G47190","AT5G47190","Ribosomal protein L19 family protein","-","-"
"BraA05000790",3.24426530400233,8.77407040322386,81.0047735706583,3.82351816769972e-08,5.58244047356586e-07,FALSE,"BraA05000790","AT2G39730","RCA","rubisco activase","-","YES"
"BraA01000493",3.10122851535585,4.59746218002966,78.8262312332249,4.69467907106597e-08,6.49334346033202e-07,FALSE,"BraA01000493","AT4G33470","HDA14","histone deacetylase 14","-","-"
