"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA03004239",-2.30827006379379,3.99992112157966,21.3457348342974,0.000117330961819665,0.0100917450220848,"BraA03004239",-3.44584844144586,3.99992112157966,31.839681823926,9.2778185619893e-06,0.00456352700517849,"23.755797","24.794017"," 4.758263"," 2.256223","AT3G21320","AT3G21320","EARLY FLOWERING protein","-","-","phyB_sig"
"BraA04003292",-0.951630066791953,5.60002700891291,20.424113824581,0.000151054230657917,0.0118686156379246,"BraA04003292",-1.26865003198643,5.60002700891291,26.4955520229147,3.14675630890586e-05,0.00853964556934108,"69.93028","40.99007","36.21273","16.98460","AT2G46550","AT2G46550","transmembrane protein","-","-","phyB_sig"
"BraA02003146",-2.59437819262777,5.94669912447162,20.2996846185141,0.000156364334206255,0.0120645814725807,"BraA02003146",-3.52362090507071,5.94669912447162,25.5963261608044,3.91733641351288e-05,0.00948598079210657,"133.933728","105.848092"," 22.124686","  9.191832","AT5G46600","AT5G46600","aluminum activated malate transporter family protein","-","-","phyB_sig"
"BraA05004474",-0.960534262432023,6.4222468405917,20.0862414573815,0.000165952954404546,0.0120815997148253,"BraA05004474",-1.4937850336033,6.4222468405917,35.3814344406524,4.41361799516982e-06,0.00320259901840554,"153.89165","104.90722"," 79.02380"," 37.24906","AT3G05030","NHX2","sodium hydrogen exchanger 2","-","YES","phyB_sig"
"BraA04000012",-0.940195068073265,5.37963893030988,19.9880763541488,0.000170576340287556,0.0120815997148253,"BraA04000012",-1.4191613610986,5.37963893030988,33.234247800316,6.88478962832108e-06,0.00416794572114514,"41.44400","34.43194","21.58619","12.87466","AT3G63260","ATMRK1","Protein kinase superfamily protein","-","-","phyB_sig"
"BraA02003838",-1.17500143264779,3.66318380929639,19.6023246977178,0.000190151757179394,0.0122767284707011,"BraA02003838",-1.69719833154912,3.66318380929639,28.7928152222081,1.83169911149469e-05,0.00703193756461621,"24.045754","14.605642","10.660866"," 4.506366","AT3G29635","AT3G29635","HXXXD-type acyl-transferase family protein","-","-","phyB_sig"
"BraA03006197",-1.13438029230046,5.18525880588607,19.4404401779192,0.000199084784787984,0.0125025861423985,"BraA03006197",-1.74772041569484,5.18525880588607,33.3530435839414,6.71443004416266e-06,0.00416794572114514,"40.37807","35.40205","18.33917","10.51590","AT4G33625","AT4G33625","vacuole protein","-","-","phyB_sig"
"BraA01004053",-1.92863319336346,7.11787710275773,18.7022156543592,0.000246044196085204,0.0139478859425984,"BraA01004053",-4.2836125221894,7.11787710275773,55.364335349747,1.36521589384446e-07,0.000914634681318562,"254.2288378","154.8246785"," 66.8118016","  7.9325893","AT3G14310","PME3","pectin methylesterase 3","-","-","phyB_sig"
"BraA06001326",-0.876989855507998,6.41882735770244,18.4803357239467,0.000262423308684373,0.0141456947900412,"BraA06001326",-1.52791659431455,6.41882735770244,40.5976251213266,1.60218007070195e-06,0.00193987033175759,"150.89436","100.96317"," 82.17488"," 35.02003","AT1G09800","AT1G09800","Pseudouridine synthase family protein","-","-","phyB_sig"
"BraA09001364",-0.969494478024886,4.22362717613745,16.4153488045395,0.000487085405607894,0.0194094285677677,"BraA09001364",-1.60360207288869,4.22362717613745,32.2754794523108,8.44492869772217e-06,0.00449733173568141,"24.190912","19.240228","12.289275"," 6.310834","AT3G11860","AT3G11860","sterile alpha motif (SAM) domain protein","-","-","phyB_sig"
"BraA10002712",-0.909345191498935,6.69414302327498,16.050921563455,0.000545268619357676,0.0207126891804096,"BraA10002712",-1.32504042714877,6.69414302327498,25.0693822689948,4.46274019367733e-05,0.00975366905279494,"151.49388","117.94215"," 80.61007"," 47.04673","AT5G06690","WCRKC1","WCRKC thioredoxin 1","-","-","phyB_sig"
"BraA07002035",-0.685600620127412,5.35091523038658,15.5053739826195,0.000647032283756712,0.0225815701692475,"BraA07002035",-1.22117364745985,5.35091523038658,36.1448754523631,3.78360260803256e-06,0.00320259901840554,"50.25945","45.98090","31.22707","19.71787","AT3G56460","AT3G56460","GroES-like zinc-binding alcohol dehydrogenase family protein","-","-","phyB_sig"
"BraA03000494",-1.12908944247603,2.37376735618524,15.5451065241725,0.000732533065782421,0.0238912952374301,"BraA03000494",-1.74107480560056,2.37376735618524,26.2881392680118,4.30166811415862e-05,0.00969752083393362,"8.3412309","6.9041929","3.8122050","2.0721931","AT5G11410","AT5G11410","Protein kinase superfamily protein","-","-","phyB_sig"
"BraA08002275",-0.764585957807137,7.00937635608547,14.5800650575245,0.000870350891352008,0.0267337040825577,"BraA08002275",-1.39235156549899,7.00937635608547,35.3383003718466,4.45246907272453e-06,0.00320259901840554,"144.46545","141.27587"," 85.03336"," 53.80492","AT4G35830","ACO1","aconitase 1","-","-","phyB_sig"
"BraA04000489",-0.928734189461839,5.74718611824328,14.2957630993787,0.000954933391435741,0.0282531044759372,"BraA04000489",-1.60463826751347,5.74718611824328,30.7713204931636,1.17229258000773e-05,0.00498699600251936,"64.66433","52.06521","33.96953","17.10889","AT3G55320","ABCB20","P-glycoprotein 20","-","-","phyB_sig"
"BraA05004120",-0.605986569708692,5.32072691598163,14.2704926462181,0.000962875192818425,0.0282646757660636,"BraA05004120",-1.06017545854901,5.32072691598163,32.2061580551691,8.57178856864309e-06,0.00449733173568141,"44.24799","37.64056","29.03674","18.05193","AT3G09470","AT3G09470","Major facilitator superfamily protein","-","-","phyB_sig"
"BraA05004167",-0.755124460856505,5.1323383287686,14.1589331648538,0.000998807840919232,0.0287934714580013,"BraA05004167",-1.59999754903663,5.1323383287686,45.3734743495425,6.81091540418166e-07,0.00119115342735355,"61.934213","45.798961","36.707553","15.088302","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-","phyB_sig"
"BraA08003182",-1.09343531415549,4.01812762379292,13.9806106397924,0.00105932373045207,0.0295110717120629,"BraA08003182",-2.48500858195435,4.01812762379292,47.4670007378298,4.77165097941677e-07,0.00109562184336269,"30.579020","20.640640","14.329431"," 3.681741","AT1G20640","AT1G20640","Plant regulator RWP-RK family protein","YES","-","phyB_sig"
"BraA06002476",-1.76131852966325,2.82832277857402,13.6280211249776,0.00119111555748302,0.0315008015726746,"BraA06002476",-2.88930604795563,2.82832277857402,25.0495950590875,4.48476952650882e-05,0.00975366905279494,"10.399137","11.669365"," 3.074357"," 1.555862","AT3G48550","AT3G48550","SHOOT GRAVITROPISM-like protein","-","-","phyB_sig"
"BraA06003750",-0.967094521479591,4.16728177683612,13.1561598930511,0.00139631671454046,0.0336646863760626,"BraA06003750",-1.60240320982851,4.16728177683612,26.0656322466822,3.49232455210431e-05,0.00890323214672507,"21.395572","18.607698","10.928944"," 6.104519","AT5G26040","HDA2","histone deacetylase 2","-","-","phyB_sig"
