"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10000108",-4.32957755020589,4.05514930369007,1.5267398131897e-23,1.20154423298029e-19,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA05000169",-3.49889348132234,3.98080518683654,4.81608415723234e-23,2.52683882116123e-19,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA09006975",-3.97813154453343,6.22338522966263,3.47945036579671e-16,1.09533097515281e-12,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA10000085",-2.01448258149606,7.30867872901638,2.93027818219446e-09,3.29446989912435e-06,"BraA10000085","AT1G01060","LHY","Homeodomain-like superfamily protein","YES","YES"
"BraA03001901",-2.06388789831282,3.9752304734341,3.35496193393567e-08,2.29596090609337e-05,"BraA03001901","AT2G34360","AT2G34360","MATE efflux family protein","-","-"
"BraA05002410",-2.20009869328667,2.5926135442632,1.002114909804e-07,5.84195877048701e-05,"BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA01002253",-2.13118836646201,4.11817046051339,1.34870545959112e-06,0.000442262998624254,"BraA01002253","AT5G48930","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","-","YES"
"BraA02000242",-3.92739982960335,2.59784346831981,5.16258943553219e-06,0.0013321173395947,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA07003035",-2.1468934086831,2.28949070976391,2.19848549452082e-05,0.00372980046975311,"BraA07003035","AT5G38890","AT5G38890","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA10002784",-2.73933267777676,4.3204632953623,4.23293807996114e-05,0.0058444250332095,"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA10000910",-3.25387681835798,1.97912208224911,4.97308945497986e-05,0.00652303566844858,"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA03004240",-3.0098099706217,2.26389107048165,0.000119058210042559,0.0126620015274992,"BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA08001546",-2.26560877431761,3.12248761783219,0.000145951978468249,0.0147261803916041,"BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA09001596",-2.63244214656926,2.77868027100649,0.000271574334427912,0.0229816130316954,"BraA09001596","AT1G63660","AT1G63660","GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase","-","-"
"BraA09005927",-4.08251834911444,6.65020860467269,0.000347739785164305,0.0269633083430086,"BraA09005927","AT2G20670","AT2G20670","sugar phosphate exchanger, putative (DUF506)","-","-"
"BraA06002902",-2.02677869977152,3.27734083038042,0.00065271598616455,0.0405390118037768,"BraA06002902","AT3G49240","emb1796","Pentatricopeptide repeat (PPR) superfamily protein","-","YES"
