"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"1",-5.63281747636271,2.9992833096493,1.04560814194107e-43,1.64578721541525e-39,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"2",-9.64437025877997,2.09908462448573,2.17881664040587e-41,1.71472869599942e-37,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"3",-5.75219037264916,3.33522248139265,6.92702149146762e-41,3.63437727585668e-37,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"4",1.94096579490546,7.16941272281056,2.39311706638074e-38,9.41691565620819e-35,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"5",2.0737259599005,5.99040384628946,1.5446091762439e-34,4.86242968681579e-31,"BraA03000302","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"6",-3.69728613277316,2.81057284347983,3.78727786667858e-30,9.93529227025348e-27,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"7",2.27942254502987,4.89648353768657,9.4455643263526e-30,2.123902607097e-26,"BraA03003874","AT3G13930","AT3G13930","Dihydrolipoamide acetyltransferase, long form protein","-","YES"
"8",-1.96827420107757,7.63242037938348,4.03121037294352e-29,7.93140640876638e-26,"BraA06004817",NA,NA,NA,NA,NA
"9",3.1291379589679,3.65955569867224,7.398439616085e-29,1.29390488396864e-25,"BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"10",-2.81701578196393,3.90455647339157,8.14687003907179e-28,1.2823173441499e-24,"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"11",2.06181833061933,4.98489684589931,3.35398043409931e-26,4.79924109388393e-23,"BraA10002309",NA,NA,NA,NA,NA
"12",-2.64277636015985,2.83222317356061,9.14906564376221e-24,1.20005244360681e-20,"BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"13",2.58239473333935,3.95425857268741,1.0367811612235e-22,1.25530272905061e-19,"BraA07001444","AT1G22400","UGT85A1","UDP-Glycosyltransferase superfamily protein","-","-"
"14",-2.01258646150117,4.90565068327337,2.29441509783504e-22,2.5795781171374e-19,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"15",2.69261829452933,4.14031905814095,1.00578362163176e-19,1.05540228029893e-16,"BraA09005648","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"16",-8.23859637275999,0.118526739602855,6.30177523465892e-18,6.19937138709572e-15,"BraA09006785","AT1G06080","ADS1","delta 9 desaturase 1","-","-"
"17",2.12667595479942,6.08425786794896,2.72006696731344e-17,2.51846200385373e-14,"BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"18",-2.16419833052235,4.53220481471317,4.66237781967638e-17,4.07699038231701e-14,"BraA05004208","AT3G08030","AT3G08030","DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)","-","-"
"19",-1.59676127762119,5.46219684712231,6.74994331030451e-17,5.59179514232594e-14,"BraA03005505","AT4G24130","AT4G24130","DUF538 family protein (Protein of unknown function, DUF538)","-","-"
"20",-2.71492360407689,3.24972018396394,1.70058590930097e-16,1.32309251324656e-13,"BraA09002904","AT4G08780","AT4G08780","Peroxidase superfamily protein","-","-"
"21",-8.27462993626497,0.949816045651141,1.76524414092616e-16,1.32309251324656e-13,"BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"22",-6.33122526958089,1.31407524222925,3.62276864381732e-16,2.5919262933493e-13,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"23",2.56588351823366,4.80306968121304,4.70449664078925e-16,3.21951204895751e-13,"BraA01003435","AT3G21760","HYR1","UDP-Glycosyltransferase superfamily protein","-","-"
"24",-2.02711837126294,2.57837673290143,9.40433402966031e-16,6.16767573445222e-13,"BraA07003439","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein","-","-"
"25",1.27137346099765,6.04495700598254,1.52022695081594e-15,9.57134888233713e-13,"BraA03000360","AT5G08280","HEMC","hydroxymethylbilane synthase","-","YES"
"26",-2.24069825961164,5.88578991948045,2.13237672379458e-15,1.29090806278949e-12,"BraA08000203","AT2G18660","PNP-A","plant natriuretic peptide A","-","-"
"27",-1.56489460465523,3.63684343543449,7.29837717879295e-15,4.25468358497041e-12,"BraA03003147",NA,NA,NA,NA,NA
"28",1.45300000181211,6.5924124232822,8.56450341535299e-15,4.81447441991629e-12,"BraA08001353","AT4G17940","AT4G17940","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"29",1.33645285057985,8.23650881489336,9.58632544386858e-15,5.20306077539626e-12,"BraA06002322","AT1G21500","AT1G21500","hypothetical protein","-","-"
"30",1.58967874117025,5.92029202073704,1.60657817179606e-14,8.42918014135665e-12,"BraA06003928","AT5G49360","BXL1","beta-xylosidase 1","-","-"
"31",1.08815381726425,9.4078536158228,3.89576516153108e-14,1.97804334330642e-11,"BraA03002830","AT4G09010","TL29","ascorbate peroxidase 4","-","-"
"32",-1.85938798557975,3.5159736696028,8.34522958570807e-14,4.10480980247016e-11,"BraA09006342","AT1G13740","AFP2","ABI five binding protein 2","-","YES"
"33",-1.79019992887074,6.57272278198735,8.8244105694063e-14,4.20897643522591e-11,"BraA01003642","AT3G49120","PRXCB","peroxidase CB","-","-"
"34",-2.34935667177398,3.35194080849742,1.13247676817713e-13,5.24270127385529e-11,"BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"35",-1.36825044626723,4.84176562278447,1.22371011242393e-13,5.50319919130076e-11,"BraA01003871","AT3G16800","AT3G16800","Protein phosphatase 2C family protein","-","-"
"36",-1.70327149621142,5.26717515630329,1.26471982671524e-13,5.52963613124941e-11,"BraA05001140","AT2G34810","AT2G34810","FAD-binding Berberine family protein","-","-"
"37",1.15295990290253,8.41141470621015,2.46902679490363e-13,1.05033734464279e-10,"BraA03004934","AT4G15560","CLA1","Deoxyxylulose-5-phosphate synthase","-","YES"
"38",1.20870136059312,9.69387051153535,4.37971480475443e-13,1.81412397439039e-10,"BraA09006187","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES"
"39",2.14546650035325,3.63032875293226,4.89189847866508e-13,1.9743200526715e-10,"BraA03000788","AT5G16370","AAE5","acyl activating enzyme 5","-","-"
"40",1.18876022735387,5.21455392075196,5.41051933540354e-13,2.12903935848129e-10,"BraA03000398","AT5G08630","AT5G08630","DDT domain-containing protein","-","-"
"41",1.23183397289296,9.80686214391144,5.78787131110206e-13,2.22197791309138e-10,"BraA10000990","AT5G54270","LHCB3","light-harvesting chlorophyll B-binding protein 3","-","YES"
"42",-1.12129371322531,5.17873414669942,6.39485790193882e-13,2.39654912801231e-10,"BraA03005695","AT4G26940","AT4G26940","Galactosyltransferase family protein","-","-"
"43",-1.47183904665429,4.43211021592081,7.77548651907304e-13,2.8461897165165e-10,"BraA05001011","AT2G36800","DOGT1","don-glucosyltransferase 1","-","YES"
"44",1.41418331438242,6.32749268436485,9.69237059862594e-13,3.46722530050846e-10,"BraA03000835","AT5G17230","PSY","PHYTOENE SYNTHASE","-","-"
"45",-1.4185120943391,4.89491835908719,1.58473300455524e-12,5.54304388704434e-10,"BraA07001227","AT1G25230","AT1G25230","Calcineurin-like metallo-phosphoesterase superfamily protein","-","-"
"46",2.03027336841969,4.12658634906591,1.81523651421853e-12,6.21126581169558e-10,"BraA09000297",NA,NA,NA,NA,NA
"47",-1.88558366626821,3.87400158884056,2.37388742251001e-12,7.94999745325692e-10,"BraA09005060","AT3G57020","AT3G57020","Calcium-dependent phosphotriesterase superfamily protein","-","-"
"48",-4.09672545038364,1.48037877861438,5.27482308887374e-12,1.72970240455985e-09,"BraA09001300","AT1G20750","AT1G20750","RAD3-like DNA-binding helicase protein","-","-"
"49",1.24507570267167,7.7594972993849,6.2255229286918e-12,1.99979042648181e-09,"BraA08001598","AT4G22690","CYP706A1","cytochrome P450, family 706, subfamily A, polypeptide 1","-","-"
