"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003391",2.5181209480012,9.27127566181737,294.439543521601,1.08662808014873e-14,7.17388732831617e-12,FALSE," 262.4491","1503.2376","BraA01003391","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA08003963",3.06091004233316,8.81343900393063,247.27048516889,7.07305542776838e-14,2.06166467468656e-11,FALSE," 160.6588","1340.9511","BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA07001630",3.19135753947091,4.6698964572499,213.115452798448,3.41324181257785e-13,5.84776293333555e-11,FALSE," 7.629552","70.103388","BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA07000520",4.60545631448197,6.05775453051384,208.046518142911,4.39541241775956e-13,6.91837914555355e-11,FALSE,"  8.240596","202.898116","BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA10003048",2.70178407876337,6.99726568667803,207.405833104793,4.53997783666467e-13,7.07517338109919e-11,FALSE," 51.66354","336.11578","BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA07000905",4.90514378505116,6.67377805132086,206.924683691717,4.65193962916517e-13,7.10888638476308e-11,FALSE," 11.57707","351.72032","BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA05003779",2.87466344681318,9.03659979005788,206.083763827437,4.85488711951069e-13,7.27770697724745e-11,FALSE," 209.8704","1538.8628","BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA09006467",2.21331103590633,4.85050100912624,204.023476085907,5.39393486495917e-13,7.78903988756489e-11,FALSE,"13.94252","64.95843","BraA09006467","AT1G11890","SEC22","Synaptobrevin family protein","-","-"
"BraA06001302",3.67526760474332,8.95925991543334,200.730916550841,6.39519307460002e-13,8.67188546427238e-11,FALSE," 133.78714","1708.46208","BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA09006846",2.41252687429244,4.75854330948469,187.211309946527,1.32251841539883e-12,1.45569509499144e-10,FALSE,"13.21585","70.37126","BraA09006846","AT1G04590","AT1G04590","PPR containing-like protein","-","-"
"BraA07002414",2.63928087841735,6.12365688119556,185.899011245097,1.42268640090263e-12,1.51304621285185e-10,FALSE," 26.25645","163.25021","BraA07002414","AT1G80490","TPR1","TOPLESS-related 1","-","-"
"BraA09003406",2.23601284994114,4.80177373614252,183.647010141606,1.6143236873973e-12,1.63092131362358e-10,FALSE,"13.91000","65.46480","BraA09003406","AT1G33230","AT1G33230","TMPIT-like protein","-","-"
"BraA01001678",2.23984834877892,6.02107460291512,181.609268646664,1.81205236584915e-12,1.77153442474942e-10,FALSE," 33.90396","160.03650","BraA01001678","AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-"
"BraA10001974",2.18776511582361,6.12187806668938,180.659196289193,1.91310344048488e-12,1.85878075019951e-10,FALSE," 41.44674","189.17272","BraA10001974","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-"
"BraA10001764",2.58217688413515,4.98540881332063,179.993175909448,1.98758560606629e-12,1.90759740484655e-10,FALSE,"13.46994","80.95065","BraA10001764","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-"
"BraA05000076",1.69613885833063,4.5126044510131,178.12759051449,2.21350931378821e-12,2.03927212054293e-10,FALSE,"13.95718","45.13878","BraA05000076","AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA08002185",2.21738054942072,4.45016050266238,175.403712365366,2.59499106891499e-12,2.21722349883423e-10,FALSE,"11.43238","52.97698","BraA08002185","AT4G26780","AR192","Co-chaperone GrpE family protein","-","-"
"BraA06002456",1.80824072663678,6.60694059198802,173.180166958897,2.95948391931185e-12,2.42616025468586e-10,FALSE," 58.34626","204.40744","BraA06002456","AT3G48860","AT3G48860","coiled-coil protein","-","-"
"BraA06004753",2.69013021804769,7.47491060069458,172.211494024834,3.13535064748949e-12,2.50509742088754e-10,FALSE," 67.53023","436.13952","BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA04001423",1.67100044346089,6.27092833937615,171.76560871126,3.22009046334088e-12,2.53421119464927e-10,FALSE," 50.25952","160.10335","BraA04001423","AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
"BraA09002521",2.23076352411964,4.72553239971944,170.178504387427,3.54250679590696e-12,2.71995399841832e-10,FALSE,"14.05371","66.26593","BraA09002521","AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA01001623",2.00924992548983,5.92895726807496,169.664077284555,3.65440695653195e-12,2.77715570695062e-10,FALSE," 35.09152","141.22728","BraA01001623","AT4G24520","ATR1","P450 reductase 1","-","YES"
"BraA08001524",1.68645788651546,5.59594429028048,169.031293974799,3.79734749815477e-12,2.84620236290267e-10,FALSE," 31.26214","100.81647","BraA08001524","AT5G53400","BOB1","HSP20-like chaperones superfamily protein","-","YES"
"BraA06001028",2.34403305742739,5.60335351294556,168.294249706241,3.97154088678478e-12,2.92112399803703e-10,FALSE," 22.90076","116.32095","BraA06001028","AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-"
"BraA01004496",1.51668227533959,5.35438473820681,165.555479617077,4.69900979998914e-12,3.36192792053768e-10,FALSE,"25.77436","73.73175","BraA01004496","AT3G06670","AT3G06670","binding protein","-","-"
"BraA07002547",2.10108214672524,5.46522088399089,164.92284582844,4.88687535861568e-12,3.43390259574155e-10,FALSE," 23.95057","102.65771","BraA07002547","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA07003320",2.79155364812969,7.11051689053182,163.394169767395,5.37537332439485e-12,3.71089368973574e-10,FALSE," 50.28474","348.91238","BraA07003320","AT1G14400","UBC1","ubiquitin carrier protein 1","-","YES"
"BraA09005163",2.50637825955184,4.34940851519539,162.200318726334,5.79376697564839e-12,3.91390095264831e-10,FALSE," 8.984348","51.452837","BraA09005163","AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-"
"BraA08002252",2.22982365139129,5.61876085325803,159.798018723263,6.74695712751498e-12,4.3702512422669e-10,FALSE," 26.29599","123.54767","BraA08002252","AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-"
"BraA04002500",2.1333823490871,5.94986457190021,158.721800079452,7.22812009336359e-12,4.55082441078171e-10,FALSE," 30.69605","134.85475","BraA04002500","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA03004700",2.83249877454796,4.89545924317281,157.676954476195,7.73110414681456e-12,4.77206193219063e-10,FALSE,"11.195407","78.930894","BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA09000797",2.51770739208576,6.59498607023574,157.10291775738,8.02352511342244e-12,4.9140188826953e-10,FALSE," 44.09983","252.69891","BraA09000797","AT5G62810","PEX14","peroxin 14","-","-"
"BraA01004324",1.97566776494228,5.62211897790823,156.939433850906,8.10898780167677e-12,4.92801034742827e-10,FALSE," 26.26002","103.51981","BraA01004324","AT3G10770","AT3G10770","Single-stranded nucleic acid binding R3H protein","-","-"
"BraA08000907",2.2487816602062,5.73062769426859,156.815110446154,8.17464078072877e-12,4.94880176494888e-10,FALSE," 23.86347","113.54576","BraA08000907","AT5G35180","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336)","-","-"
"BraA05002388",2.93960976315967,4.24597405098162,156.089003672611,8.56980461694166e-12,5.14655845132427e-10,FALSE," 7.036172","54.566626","BraA05002388","AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA09006272",3.16134399590584,3.99251895355027,155.919887569933,8.6647902770072e-12,5.14655845132427e-10,FALSE," 4.076494","36.520292","BraA09006272","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-"
"BraA08003682",1.89286142083284,6.96575599991027,155.558449502631,8.8716515808837e-12,5.22995490198912e-10,FALSE," 77.79757","288.99053","BraA08003682","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA03005909",2.86866971542375,8.04268726173098,154.452616354297,9.53858098760326e-12,5.5197523803263e-10,FALSE," 96.49264","704.95773","BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA05002442",1.93456486701474,6.66934552718901,154.231394609429,9.67842899481078e-12,5.54029949841276e-10,FALSE," 61.09447","233.35401","BraA05002442","AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-"
"BraA04000074",1.85906851912557,5.86685583568955,154.001903184576,9.82586171628464e-12,5.54333560624804e-10,FALSE," 32.09814","116.53176","BraA04000074","AT3G62290","ARFA1E","ADP-ribosylation factor A1E","-","-"
"BraA01003887",1.89846738554387,7.79894687867051,152.499473841283,1.08534533939978e-11,5.87056207634106e-10,FALSE,"128.4641","478.9720","BraA01003887","AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA04002275",2.48211000869358,5.52402102853855,152.069978223262,1.11682467320515e-11,5.93763425381607e-10,FALSE," 19.41177","108.82199","BraA04002275","AT2G31110","AT2G31110","trichome birefringence-like protein (DUF828)","-","-"
"BraA09002488",1.83121834356779,7.44627917090628,151.380195096428,1.1694762616652e-11,6.13585211953673e-10,FALSE,"106.79603","380.19429","BraA09002488","AT2G02470","AL6","alfin-like 6","-","-"
"BraA08003387",2.37058200979781,6.00453946576054,150.821868697517,1.21406914027858e-11,6.26433892166595e-10,FALSE," 31.23251","161.96519","BraA08003387","AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA03003103",1.60545737122526,6.08473860152338,150.562917026652,1.23537533305078e-11,6.31324926695433e-10,FALSE," 44.16340","134.16987","BraA03003103","AT4G02080","SAR2","secretion-associated RAS super family 2","-","-"
"BraA06004243",1.61422347702642,5.27783246641175,149.816190012109,1.29912227047888e-11,6.53296630585864e-10,FALSE,"23.31966","71.41395","BraA06004243","AT5G40650","SDH2-2","succinate dehydrogenase 2-2","-","-"
"BraA05002380",1.99191820517676,5.6995709372294,149.136358193583,1.36027380254646e-11,6.73292756354759e-10,FALSE," 33.40911","132.76144","BraA05002380","AT3G48110","EDD1","glycine-tRNA ligase","-","-"
"BraA07003150",3.01966225794019,4.03804260292903,149.034695866275,1.36968410639902e-11,6.75825323972434e-10,FALSE," 5.753602","46.547687","BraA07003150","AT1G67730","KCR1","beta-ketoacyl reductase 1","-","-"
"BraA05004510",2.19007289443086,5.67412861863659,146.512977235151,1.62728347903981e-11,7.71577952633677e-10,FALSE," 26.63205","121.52635","BraA05004510","AT3G04560","AT3G04560","nucleolar/coiled-body phosphoprotein","-","-"
"BraA03000676",1.86095990517221,5.98180605931617,145.667055587955,1.72512510428046e-11,8.08138962540906e-10,FALSE," 32.37262","117.70139","BraA03000676","AT5G14640","SK13","shaggy-like kinase 13","-","-"
"BraA05003854",1.72324217747676,5.38170373857318,145.28705953494,1.77114057945111e-11,8.24785583448537e-10,FALSE,"26.36472","87.12480","BraA05003854","AT3G12680","HUA1","floral homeotic protein (HUA1)","YES","-"
"BraA01000919",3.35478179018798,7.62793405850654,144.706338717358,1.84405838877091e-11,8.51187068599829e-10,FALSE," 56.38523","576.53008","BraA01000919","AT4G29010","AIM1","Enoyl-CoA hydratase/isomerase family","-","-"
"BraA03004964",1.60277746070273,6.01551427823431,144.591597079918,1.85884807828933e-11,8.53010750795163e-10,FALSE," 40.97503","124.44575","BraA03004964","AT4G15900","PRL1","pleiotropic regulatory locus 1","-","YES"
"BraA03000536",2.77355472769036,4.03829534720179,144.107715113732,1.92265101435014e-11,8.69534575987849e-10,FALSE," 6.747912","46.309074","BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA06004577",1.9462423958302,5.72404129862522,143.837278158973,1.95934304957201e-11,8.7863417664568e-10,FALSE," 28.66585","110.54441","BraA06004577","AT2G01060","AT2G01060","myb-like HTH transcriptional regulator family protein","YES","-"
"BraA10001873",2.10511885837958,4.08479094081437,143.128692168681,2.05913883925892e-11,9.1041700364987e-10,FALSE," 8.932828","38.362752","BraA10001873","AT5G18940","AT5G18940","Mo25 family protein","-","-"
"BraA06002912",2.50311690194747,6.73669791724269,142.845690267279,2.10052763698234e-11,9.19309951024014e-10,FALSE," 43.53921","246.93471","BraA06002912","AT3G49490","AT3G49490","hypothetical protein","-","-"
"BraA07001183",2.02683066304924,6.2624516893867,142.36578118589,2.17279425753156e-11,9.47362371566394e-10,FALSE," 39.61665","161.58507","BraA07001183","AT1G27320","HK3","histidine kinase 3","-","YES"
"BraA08002510",2.30193258269284,4.64407611003312,142.203128442485,2.19789631588772e-11,9.55659889836261e-10,FALSE,"11.26331","55.88715","BraA08002510","AT4G38800","MTN1","methylthioadenosine nucleosidase 1","-","-"
"BraA09002834",2.61803527392927,4.55623373544997,141.674250951113,2.28171927654911e-11,9.83952367476246e-10,FALSE,"10.465714","64.188959","BraA09002834","AT4G09830","AT4G09830","nuclear receptor family 2 group C protein","-","-"
"BraA02002078",1.58131585919855,5.54351058285503,141.586390888836,2.29597772229048e-11,9.84705431848833e-10,FALSE," 30.64817"," 91.62971","BraA02002078","AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA08003565",2.71809754840137,5.34209285737446,140.630528878975,2.45751167954797e-11,1.02875621904481e-09,FALSE," 15.01227"," 98.92484","BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA05002550",1.65885132851237,5.80980447577288,139.598771455121,2.64583893303141e-11,1.08170142353024e-09,FALSE," 34.90745","110.34710","BraA05002550","AT3G22270","AT3G22270","Topoisomerase II-associated protein PAT1","-","-"
"BraA06001323",1.87458743615121,8.77639213304156,138.874913490084,2.78730114437796e-11,1.13119138964846e-09,FALSE," 275.0657","1008.6951","BraA06001323","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA01001354",2.3376852742497,5.05276031220741,138.471628749265,2.8696615980515e-11,1.14932502680231e-09,FALSE,"16.37709","82.93711","BraA01001354","AT4G21980","APG8A","Ubiquitin-like superfamily protein","-","YES"
"BraA01002149",3.93825327554091,6.24969123871413,137.778432621321,3.01747295529462e-11,1.190351486625e-09,FALSE," 14.54003","223.10889","BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA08002505",2.1452483015705,3.62868748060632,137.02195585414,3.18827348984299e-11,1.23796253525571e-09,FALSE," 6.338514","28.068576","BraA08002505","AT4G38910","BPC5","basic pentacysteine 5","YES","-"
"BraA06000753",5.43714952597865,5.81133349009439,136.765777862772,3.24847198618239e-11,1.25383637648472e-09,FALSE,"  5.200192","226.198689","BraA06000753","AT1G53580","GLY3","glyoxalase II 3","-","-"
