"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-5.63281747636271,2.9992833096493,1.04560814194107e-43,1.64578721541525e-39,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10000108",-9.64437025877997,2.09908462448573,2.17881664040587e-41,1.71472869599942e-37,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA09006975",-5.75219037264916,3.33522248139265,6.92702149146762e-41,3.63437727585668e-37,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA03002625",-3.69728613277316,2.81057284347983,3.78727786667858e-30,9.93529227025348e-27,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA09006785",-8.23859637275999,0.118526739602855,6.30177523465892e-18,6.19937138709572e-15,"BraA09006785","AT1G06080","ADS1","delta 9 desaturase 1","-","-"
"BraA03002626",-8.27462993626497,0.949816045651141,1.76524414092616e-16,1.32309251324656e-13,"BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA02000242",-6.33122526958089,1.31407524222925,3.62276864381732e-16,2.5919262933493e-13,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA09001300",-4.09672545038364,1.48037877861438,5.27482308887374e-12,1.72970240455985e-09,"BraA09001300","AT1G20750","AT1G20750","RAD3-like DNA-binding helicase protein","-","-"
"BraA07003741",-4.29549103832286,3.84285955614849,3.57319384643367e-11,1.00432269897975e-08,"BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA03004240",-4.68232580214272,-0.0317732947324744,1.3789539345333e-10,3.2885962014476e-08,"BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA01000203",-4.41363748765843,0.480347721514875,3.10083287929333e-09,5.13759047579758e-07,"BraA01000203","AT4G37150","MES9","methyl esterase 9","-","-"
"BraA02001060",-3.90012833274572,-0.138440675839588,4.16608538272097e-09,6.56175458166883e-07,"BraA02001060","AT5G22500","FAR1","fatty acid reductase 1","-","-"
"BraA03005048",-6.6691325383098,-1.03379595469909,1.31295421788509e-08,1.81279819206239e-06,"BraA03005048","AT4G17030","EXLB1","expansin-like B1","-","YES"
"BraA07003776",-3.61431906321071,2.47813039785596,1.44434991613934e-08,1.97687545043768e-06,"BraA07003776","AT1G75450","CKX5","cytokinin oxidase 5","-","YES"
"BraA04000504",-4.28833604910461,-0.201101526052292,1.55165275374124e-07,1.61741816846934e-05,"BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA01000624",-3.3178244069249,1.27069310020268,3.64198805739176e-07,3.31357757360383e-05,"BraA01000624","AT4G32280","IAA29","indole-3-acetic acid inducible 29","-","YES"
"BraA03004409",-3.60573468722269,1.8127080177191,7.58933836037289e-07,6.42237558022953e-05,"BraA03004409","AT3G25190","AT3G25190","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA10002904",-3.05006055294013,0.0237562750749933,5.45345409006709e-06,0.000363717658379899,"BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA01000945",-4.96156303615516,0.407131235536383,5.94007156774905e-06,0.000392843388556177,"BraA01000945","AT4G28720","YUC8","Flavin-binding monooxygenase family protein","-","YES"
"BraA01000130",-4.75838124338007,1.51392773277907,9.80768939513988e-06,0.000596034869032825,"BraA01000130","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8","-","-"
"BraA08001274",-3.11516494294968,0.0304803542422655,9.93358791096929e-06,0.000601364129687141,"BraA08001274","AT4G16520","ATG8F","Ubiquitin-like superfamily protein","-","-"
"BraA05002634",-4.19766568231956,0.423534268650607,2.93195803942772e-05,0.00145580503282626,"BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA09005457",-5.42292965925343,-1.0188645223593,3.84060675223009e-05,0.00178849557041721,"BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA06003425",-3.46047533253137,2.42522671846475,0.000124800026598315,0.00464385914576235,"BraA06003425","AT2G18193","AT2G18193","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA06002044",-3.56822915995459,-1.45530164265709,0.000294238254975632,0.00895804667952891,"BraA06002044","AT1G18710","MYB47","myb domain protein 47","YES","-"
"BraA10000604",-3.6184003603724,-1.06763078350404,0.000323689830242334,0.00968607971105388,"BraA10000604","AT1G07430","HAI2","highly ABA-induced PP2C protein 2","-","-"
