"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA02003838",-2.40150459735291,3.66318380929639,73.3262803485371,1.20872820081011e-08,1.24920432572233e-07,"BraA02003838",-0.844162057264569,3.66318380929639,7.58529130986178,0.0112363153926438,0.019388248660405,"24.045754","14.605642"," 4.589506"," 8.108009","AT3G29635","AT3G29635","HXXXD-type acyl-transferase family protein","-","-","WT_sig"
"BraA07001900",-1.84464039103342,6.132571318072,72.3491331552858,1.36229061407841e-08,1.37149581222754e-07,"BraA07001900",-0.716145311902051,6.132571318072,8.6833339955368,0.00719171938008941,0.013035198415777," 83.08165"," 57.49611"," 23.13652"," 34.97614","AT2G28550","RAP2.7","related to AP2.7","YES","-","WT_sig"
"BraSca000243",-4.48562011591967,6.62538321515414,72.077649304359,1.40862860957585e-08,1.40505794136399e-07,"BraSca000243",-1.58710162152004,6.62538321515414,8.85141266080906,0.0067286380120374,0.0122636362099894,"181.514472","142.313586","  8.204007"," 47.265454","AT5G23960","TPS21","terpene synthase 21","-","-","WT_sig"
"BraA03006088",-1.92030206185539,5.57631127091483,64.8165050017189,3.57915805885694e-08,2.96504988665307e-07,"BraA03006088",-0.772737605907857,5.57631127091483,8.38265105106349,0.00811017987731536,0.0145226656733724,"78.19153","48.84936","20.66941","28.54438","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-","WT_sig"
"BraA09004967",-1.5425534648996,7.16851133354162,62.5316646939817,4.87840385239065e-08,3.80505830706783e-07,"BraA09004967",-0.597907812731527,7.16851133354162,7.32829661587852,0.0125111152563763,0.02128918423085,"240.24140","150.98045"," 82.48607"," 99.71641","AT3G56040","UGP3","UDP-glucose pyrophosphorylase 3","-","-","WT_sig"
"BraA03004934",-2.45040778237528,8.00144091082475,51.9211986673848,2.31705403387014e-07,1.41084837497547e-06,"BraA03004934",-1.05313152740175,8.00144091082475,7.83001942113274,0.0101545139820529,0.0177315342886081,"502.91442","227.07482"," 92.09065","109.36883","AT4G15560","CLA1","Deoxyxylulose-5-phosphate synthase","-","YES","WT_sig"
"BraA08002362",-2.85414208249111,4.83229970877488,49.7056851964544,3.30012748687223e-07,1.90480405732926e-06,"BraA08002362",-1.21665692452008,4.83229970877488,7.81111350543394,0.0102338533941855,0.0178423629180859,"41.726616","32.535931"," 5.758444","13.969620","AT4G37080","AT4G37080","ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)","-","-","WT_sig"
"BraA09005648",-3.90334485713838,3.3602342577856,49.686840834584,3.31022524371656e-07,1.9078339559172e-06,"BraA09005648",-1.48089180415523,3.3602342577856,5.43864790883738,0.0287180210556119,0.0448389694886749,"19.7469571"," 3.0691910"," 1.3282882"," 1.1014249","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-","WT_sig"
"BraA03000999",-1.46277094483729,4.81390970458949,45.4555480193373,6.71515964698887e-07,3.47001355363115e-06,"BraA03000999",-0.720699600695633,4.81390970458949,8.61577874927602,0.00738763149921665,0.013367205402652,"39.40857","28.76599","14.25507","17.45131","AT5G20060","AT5G20060","alpha/beta-Hydrolases superfamily protein","-","-","WT_sig"
"BraA02003247",-1.15989270491405,4.76940374281826,45.3001795060853,6.89768405054857e-07,3.55150627921604e-06,"BraA02003247",-0.174057929726661,4.76940374281826,0.795941538248846,0.381458811464389,0.443275134178626,"38.34469","28.46957","17.21708","25.20152","AT5G47390","AT5G47390","myb-like transcription factor family protein","YES","-","WT_sig"
