"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA06003490",-4.00370740944027,5.42175199817962,532.380369007702,1.62013785334606e-17,1.66616530921726e-13,"BraA06003490",-3.69001720582302,5.42175199817962,359.311911799896,1.24771367800617e-15,9.81950664590857e-12,"46.287704","49.889306"," 2.881876"," 3.873098","AT2G17320","AT2G17320","pantothenate kinase","-","-","Both_sig"
"BraA04002129",-10.3681735200649,5.28083511596932,504.046565154645,2.97876711616939e-17,1.66616530921726e-13,"BraA04002129",-9.7009009912289,5.28083511596932,401.987681273653,3.64209827841235e-16,5.73266269022104e-12,"48.80012229","63.37599876"," 0.02185446"," 0.06887702","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-","Both_sig"
"BraA06004345",-2.75473288485738,6.00447087145255,501.153980072187,3.17566450295539e-17,1.66616530921726e-13,"BraA06004345",-2.48264829904135,6.00447087145255,315.569181864905,5.13200933318606e-15,2.69259423014495e-11,"79.24423","83.94639","11.71657","15.01523","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-","Both_sig"
"BraA08003307",-3.4373960494947,7.54263936467617,399.473311933695,3.90242795946313e-16,1.53560540204874e-12,"BraA08003307",-2.79902769568837,7.54263936467617,211.063997653786,3.77858969479508e-13,3.96500011973831e-10,"221.32212","204.57047"," 20.40327"," 29.38899","AT1G18060","AT1G18060","microbial collagenase","-","-","Both_sig"
"BraA06004803",-2.72029460032333,6.92550053706201,378.56825622933,7.04328773458487e-16,2.21722697884732e-12,"BraA06004803",-2.28242540071161,6.92550053706201,207.686595652746,4.47600009871932e-13,4.14329655365874e-10,"164.50675","145.60803"," 24.98322"," 29.92805","AT5G44650","CEST","death domain associated protein","-","-","Both_sig"
"BraA06001576",-3.38709818688351,5.66034315561285,363.107869212416,1.11220037837905e-15,2.91767232594771e-12,"BraA06001576",-2.98274193067229,5.66034315561285,221.284635757163,2.29638464804584e-13,3.20028629401857e-10,"63.472154","55.969861"," 6.062191"," 7.061591","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-","Both_sig"
"BraA03002180",-2.50691623951051,7.86470082831801,346.297837494463,1.86704424213068e-15,4.19818233873385e-12,"BraA03002180",-2.03715123827925,7.86470082831801,178.087792485994,2.2186230247282e-12,8.33474319488189e-10,"287.60143","276.15308"," 50.61252"," 67.27862","AT2G39190","ATATH8","Protein kinase superfamily protein","-","-","Both_sig"
"BraA09000087",-7.48057986536277,9.39192339081762,336.591392466194,2.5455377545269e-15,4.86516943786709e-12,"BraA09000087",-7.12517965422505,9.39192339081762,236.444436950285,1.13870899895653e-13,1.79232796435759e-10,"1232.875507"," 852.561423","   6.977040","   6.072929","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-","Both_sig"
"BraA05000981",-3.44545779333648,5.83719635276723,330.287704147117,3.12733553454478e-15,4.86516943786709e-12,"BraA05000981",-2.89630792108659,5.83719635276723,185.928216597039,1.42036955013132e-12,6.98644272470844e-10,"75.479617","66.171323"," 6.941953"," 8.892876","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-","Both_sig"
"BraA01000537",-5.14020167751699,11.6687695467769,329.757399096007,3.18249473613647e-15,4.86516943786709e-12,"BraA01000537",-3.78437597372583,11.6687695467769,152.704337577828,1.07067073839754e-11,2.08053795337991e-09,"4164.8203","4026.9571"," 118.2021"," 292.2269","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES","Both_sig"
"BraA05003669",-4.49652375809182,9.01720054294972,327.718014618522,3.40467585474442e-15,4.86516943786709e-12,"BraA05003669",-3.73676359508441,9.01720054294972,183.353447388963,1.64130384107448e-12,7.59827131132714e-10,"577.02542","651.75065"," 25.64127"," 48.86636","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-","Both_sig"
"BraA05004133",-6.74856318479956,5.30219232204615,325.146574025758,3.70915077855179e-15,4.86516943786709e-12,"BraA05004133",-6.86735514377035,5.30219232204615,270.342470091437,2.72448792368051e-14,1.07208599796828e-10,"42.327704","59.826018"," 0.417879"," 0.477744","AT5G02120","OHP","one helix protein","-","-","Both_sig"
"BraA09001106",-6.38903462514713,10.6070830398973,322.677078920652,4.029569030701e-15,4.87887819563336e-12,"BraA09001106",-5.70407150443154,10.6070830398973,206.156544787048,4.83694753121603e-13,4.14329655365874e-10,"2021.40886","1806.27817","  24.17015","  34.61011","AT2G15620","NIR1","nitrite reductase 1","-","-","Both_sig"
"BraA05003475",-4.18358578830912,3.70565560839199,310.248983042527,6.17102365002793e-15,6.80667596203018e-12,"BraA05003475",-3.41904518175714,3.70565560839199,172.133718211206,3.1499556870361e-12,9.0778888329901e-10,"21.979651","17.295480"," 1.234153"," 1.593899","AT3G16570","RALF23","rapid alkalinization factor 23","-","-","Both_sig"
"BraA01000119",-5.45689603024253,9.39944309652242,307.699553263219,6.74810426310203e-15,6.80667596203018e-12,"BraA01000119",-4.28170236995613,9.39944309652242,159.838371623383,6.72960605202243e-12,1.68133332156878e-09,"882.83860","867.60915"," 20.14519"," 44.56912","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES","Both_sig"
"BraA04001451",-8.59066149838192,11.8173790627989,305.201345188127,7.37086547239138e-15,6.80667596203018e-12,"BraA04001451",-8.01448464551383,11.8173790627989,209.633594870733,4.05838476541287e-13,3.99243601297491e-10,"5446.84887","5011.39901","  14.19763","  19.35426","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES","Both_sig"
