"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-5.39475939200376,3.98080518683654,286.453216178543,1.25347771191925e-12,2.21682462759652e-10,FALSE,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA09000394",-3.31366591580849,4.12050862163825,201.307488756496,2.54318087945418e-11,1.56365886885191e-09,FALSE,"BraA09000394","AT3G29100","VTI13","vesicle transport V-snare 13","-","-"
"BraA01002149",-3.42098808019465,6.249659373292,131.693849176898,8.49381973904505e-10,1.85426799850997e-08,FALSE,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA06001664",-3.17509489702359,8.88445505822908,126.066965573815,1.20817869963175e-09,2.36821080102164e-08,FALSE,"BraA06001664","AT1G14740","TTA1","class I heat shock protein, putative (DUF1423)","-","-"
"BraA07003886",-3.13669374367437,7.82274170514152,119.283914385913,1.8827882411772e-09,3.32604791426815e-08,FALSE,"BraA07003886","AT1G76490","HMG1","hydroxy methylglutaryl CoA reductase 1","-","YES"
"BraA06000717",-3.33966653769589,6.20976764349827,109.325946038082,3.76486994021505e-09,5.57709658048103e-08,FALSE,"BraA06000717","AT1G54095","AT1G54095","DUF1677 family protein, putative (DUF1677)","-","-"
"BraA01003986",-3.15946302443851,4.10908306933166,98.9079995907428,8.26233362875684e-09,1.01600883841119e-07,FALSE,"BraA01003986","AT3G15358","AT3G15358","transmembrane protein","-","-"
"BraA10003068",-3.4752661642083,5.25197361199728,95.877836699201,1.05235084615375e-08,1.24261082659115e-07,FALSE,"BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA05002410",-3.48199809729606,2.5926135442632,87.5687528579003,2.11535409344243e-08,2.14533978291133e-07,FALSE,"BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA08003881",-4.20256328428855,5.10586232109805,83.0664136656753,3.16162054756233e-08,2.91699340085762e-07,FALSE,"BraA08003881","AT1G05680","UGT74E2","Uridine diphosphate glycosyltransferase 74E2","-","-"
"BraA06003704",-3.1107569360607,5.60920400349797,74.462810709816,7.18475350049721e-08,5.65440100489131e-07,FALSE,"BraA06003704","AT5G25350","EBF2","EIN3-binding F box protein 2","-","-"
"BraA01001916",-3.08923823176514,5.04512672007899,72.5618406032051,8.70359557364103e-08,6.65022302568494e-07,FALSE,"BraA01001916","AT4G27450","AT4G27450","aluminum induced protein with YGL and LRDR motifs","-","-"
"BraA08002898",-4.16072769702822,2.26699383726287,71.8392008038661,9.37182690258919e-08,7.05126938081997e-07,FALSE,"BraA08002898","AT5G13090","AT5G13090","hypothetical protein","-","-"
"BraA03003517",-3.21172858458488,5.9449312449264,69.9952207081867,1.13500932190065e-07,8.30546105379651e-07,FALSE,"BraA03003517","AT3G06850","BCE2","2-oxoacid dehydrogenases acyltransferase family protein","-","-"
"BraA09006385",-3.04320546280479,2.93177851785515,63.4938609212697,2.30682613412701e-07,1.48320093316938e-06,FALSE,"BraA09006385","AT1G13780","AT1G13780","F-box/RNI-like/FBD-like domains-containing protein","-","-"
"BraA05000369",-3.06285206582206,3.44472888007864,63.3127113493604,2.35477621838804e-07,1.50422799015535e-06,FALSE,"BraA05000369","AT2G42300","AT2G42300","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA02001487",-3.18101533049168,3.05410109938374,62.0592750619395,2.71850915423402e-07,1.68927493437203e-06,FALSE,"BraA02001487","AT5G54730","G18F","yeast autophagy 18 F-like protein","-","-"
"BraA02003164",-3.17722028383219,4.05862446890824,60.2332166138318,3.36515738288936e-07,2.01015473270127e-06,FALSE,"BraA02003164","AT5G46780","AT5G46780","VQ motif-containing protein","-","-"
"BraA01004594",-3.05352915319281,4.2228859170966,54.7216930427367,6.61673792556041e-07,3.57933626057444e-06,FALSE,"BraA01004594","AT3G04730","IAA16","indoleacetic acid-induced protein 16","-","-"
"BraA05003740",-3.6062684599534,3.87222083167909,52.9802603183554,8.28212493827308e-07,4.32086995453823e-06,FALSE,"BraA05003740","AT3G13790","ATBFRUCT1","Glycosyl hydrolases family 32 protein","-","-"
"BraA05001455",-3.16063487419482,4.09608792299155,52.2011834766297,9.17382033822136e-07,4.70466372454633e-06,FALSE,"BraA05001455","AT2G31390","AT2G31390","pfkB-like carbohydrate kinase family protein","-","-"
"BraA02000260",-3.00097872704604,2.67334478825702,51.1285329157726,1.05808405873522e-06,5.30558874944007e-06,FALSE,"BraA02000260","AT5G07680","NAC080","NAC domain containing protein 80","YES","YES"
"BraA08002463",-3.27210386658018,4.88695221383601,50.9815872865651,1.07915976004127e-06,5.3940853042393e-06,FALSE,"BraA08002463","AT4G39660","AGT2","alanine:glyoxylate aminotransferase 2","-","-"
"BraA07002639",-3.09869693601855,2.70551699851592,50.7257959295875,1.11696717684956e-06,5.56186756204115e-06,FALSE,"BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA01002292",-3.82702913130383,3.01529430377973,49.6375340020886,1.29510424553199e-06,6.29164840267702e-06,FALSE,"BraA01002292","AT4G15550","IAGLU","indole-3-acetate beta-D-glucosyltransferase","-","-"
"BraA01003228",-4.28500569232933,2.3121901177555,48.9515054806039,1.42350722217392e-06,6.82395841026104e-06,FALSE,"BraA01003228","AT3G24110","AT3G24110","Calcium-binding EF-hand family protein","-","-"
"BraA05002015",-3.99166990820073,2.26687425408465,47.4755086351793,1.75050122870566e-06,8.14634687632578e-06,FALSE,"BraA05002015","AT1G49560","AT1G49560","Homeodomain-like superfamily protein","YES","-"
"BraA09005303",-3.03880576611341,6.35803794815422,47.4321404041906,1.76129515301595e-06,8.18989238064138e-06,FALSE,"BraA09005303","AT3G60130","BGLU16","beta glucosidase 16","-","-"
"BraA10000910",-5.18800395070986,1.97912208224911,45.8838100704387,2.19962032338252e-06,9.90920523434489e-06,FALSE,"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA03000917",-3.127300194321,5.6849734929866,45.4970823089349,2.3271643235469e-06,1.0400217618577e-05,FALSE,"BraA03000917","AT5G18600","AT5G18600","Thioredoxin superfamily protein","-","-"
"BraA02004500",-3.09851706943073,3.73201172397834,44.6950036624369,2.61870349706052e-06,1.14878464447415e-05,FALSE,"BraA02004500","AT5G65640","bHLH093","beta HLH protein 93","YES","-"
"BraA03003954",-3.75327050512548,5.12733939876851,43.6542154751516,3.05920512238299e-06,1.3138305218638e-05,FALSE,"BraA03003954","AT3G15630","AT3G15630","plant/protein","-","-"
"BraA01004409",-3.18059984210684,1.7601076872859,43.0468776059058,3.35390315494029e-06,1.41947931322292e-05,FALSE,"BraA01004409","AT3G09085","AT3G09085","transmembrane protein (DUF962)","-","-"
"BraA10000097",-3.15891374537348,2.58116833564909,42.9715442111877,3.39260387890306e-06,1.43277663144444e-05,FALSE,"BraA10000097","AT1G02250","NAC005","NAC domain containing protein 5","YES","-"
"BraA03003710",-3.63464610076391,3.74714242022663,42.746140419217,3.51139181394381e-06,1.47532696594199e-05,FALSE,"BraA03003710","AT3G10986","AT3G10986","LURP-one-like protein (DUF567)","-","-"
"BraA01003545",-3.69927762472068,3.40158335553077,42.7076708079474,3.53212292646891e-06,1.48254972966988e-05,FALSE,"BraA01003545","AT5G15830","bZIP3","basic leucine-zipper 3","YES","-"
"BraA10002784",-4.26205509213905,4.3204632953623,41.1041230705807,4.53003078739109e-06,1.82827396393681e-05,FALSE,"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA08002841",-3.3127442073531,2.3333308770003,39.4025215360848,5.94438978135309e-06,2.30467067857316e-05,FALSE,"BraA08002841","AT1G28190","AT1G28190","hypothetical protein","-","-"
"BraA10001175",-3.12587766883683,1.35790123489679,38.9744597849542,6.37320400901866e-06,2.44489961252629e-05,FALSE,"BraA10001175","AT3G24255","AT3G24255","RNA-directed DNA polymerase (reverse transcriptase)-related family protein","-","-"
"BraA03000257",-3.71902882546009,2.71794044842302,36.7268975534334,9.27078779024855e-06,3.37392369522571e-05,FALSE,"BraA03000257","AT5G06280","AT5G06280","hypothetical protein","-","-"
"BraA05000316",-3.18183792155844,3.65853257325514,36.0615826727999,1.03899858761209e-05,3.71931720923681e-05,FALSE,"BraA05000316","AT2G41640","AT2G41640","Glycosyltransferase family 61 protein","-","-"
"BraA10002904",-3.75959384059636,2.19442841040591,35.8976611841775,1.06882500194411e-05,3.81048822890153e-05,FALSE,"BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA07000017",-3.30556141917218,5.58969198573131,35.0331979828798,1.24271386629993e-05,4.34803773223945e-05,FALSE,"BraA07000017","AT2G20670","AT2G20670","sugar phosphate exchanger, putative (DUF506)","-","-"
"BraA01004624",-3.27353559714587,4.65397681102179,33.2240587417373,1.71792969459901e-05,5.77412201430458e-05,FALSE,"BraA01004624","AT3G04070","NAC047","NAC domain containing protein 47","YES","YES"
"BraA03001349",-3.11287699637542,3.80072397665375,31.3933923257368,2.41339409648003e-05,7.73032622682046e-05,FALSE,"BraA03001349","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA08001710",-3.35286657883507,6.28597803362752,31.3877409808501,2.41597628013632e-05,7.73604441648809e-05,FALSE,"BraA08001710","AT4G34138","UGT73B1","UDP-glucosyl transferase 73B1","-","-"
"BraA08002357",-3.38388383379338,3.64692030495859,30.9850233875614,2.60813320188164e-05,8.26828128854319e-05,FALSE,"BraA08002357","AT4G37220","AT4G37220","Cold acclimation protein WCOR413 family","-","-"
"BraA10002729",-3.27896928176094,2.8247965712843,30.4484156856009,2.89107388675796e-05,9.03783574529698e-05,FALSE,"BraA10002729","AT5G06860","PGIP1","polygalacturonase inhibiting protein 1","-","-"
"BraA07004131",-3.359860456247,6.73217225609426,30.0805998982113,3.10467497080682e-05,9.59881831477105e-05,FALSE,"BraA07004131","AT1G80920","J8","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06003537",-6.23418611122079,1.60145910109249,32.0578952870794,3.29215585221354e-05,0.000100951749686034,FALSE,"BraA06003537","AT5G23530","CXE18","carboxyesterase 18","-","-"
"BraA08001546",-3.19135109935114,3.12248761783219,29.690229057764,3.35074204457482e-05,0.000102448872924646,FALSE,"BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA01001785",-3.07375637738112,2.47793903711094,29.0102454180738,3.83281651678669e-05,0.000115152761928274,FALSE,"BraA01001785","AT4G26140","BGAL12","beta-galactosidase 12","-","-"
"BraA06004037",-3.94157090891482,7.68419016513726,28.592199933644,4.1671980878097e-05,0.000123921590595361,FALSE,"BraA06004037","AT5G48180","NSP5","nitrile specifier protein 5","-","-"
"BraA05002269",-3.04133969582241,4.74575654600703,28.2163083875134,4.4957022877573e-05,0.000132340291769777,FALSE,"BraA05002269","AT1G34180","NAC016","NAC domain containing protein 16","YES","-"
"BraA02001391",-3.50142925250037,4.37256364274702,28.1411168253294,4.56481112146184e-05,0.00013399874496794,FALSE,"BraA02001391","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA07000291",-3.06878463204556,2.18037300504035,27.7783320953082,4.91526582992476e-05,0.000142926813528571,FALSE,"BraA07000291","AT4G38470","STY46","ACT-like protein tyrosine kinase family protein","-","-"
"BraA01000181",-3.10716531521256,2.98726614084851,27.2117140858038,5.52400671819756e-05,0.000158288486700218,FALSE,"BraA01000181","AT4G36900","RAP2.10","related to AP2 10","YES","-"
"BraA02004139",-3.24616290811137,1.69290068572627,26.6915821232845,6.1572583643433e-05,0.000173870194931402,FALSE,"BraA02004139","AT5G25160","ZFP3","zinc finger protein 3","YES","-"
"BraA01001556",-10.5635041398713,1.68978693669215,41.3697713605537,6.55878512395732e-05,0.000183823500447094,FALSE,"BraA01001556","AT4G24000","CSLG2","cellulose synthase like G2","-","-"
"BraA04001733",-5.0692139735827,3.00794407891042,26.2528424168538,6.75447841274731e-05,0.0001886699027802,FALSE,"BraA04001733","AT2G23770","LYK4","protein kinase family protein / peptidoglycan-binding LysM domain-containing protein","-","-"
"BraA08002952",-3.56210455627727,1.93269418738451,25.8672646157388,7.33279672617114e-05,0.000202701476062406,FALSE,"BraA08002952",NA,NA,NA,NA,NA
"BraA03002639",-3.01679697008678,2.04495862333363,25.635168141022,7.70733062787114e-05,0.000211949276862663,FALSE,"BraA03002639","AT3G62440","SAF1","F-box/RNI-like superfamily protein","-","-"
"BraA09003671",-5.0451011363644,3.929602330883,25.3528123126833,8.19192341729684e-05,0.000223661534411539,FALSE,"BraA09003671","AT1G30730","AT1G30730","FAD-binding Berberine family protein","-","-"
"BraA06002079",-3.35424566052307,2.74587629040765,25.0985538842945,8.65739741903255e-05,0.000234499114396098,FALSE,"BraA06002079","AT1G19200","AT1G19200","cyclin-dependent kinase, putative (DUF581)","-","-"
"BraA03001246",-3.86087002108559,1.60535701090758,24.6247620720125,9.60528678081176e-05,0.00025664100140889,FALSE,"BraA03001246","AT5G58350","WNK4","with no lysine (K) kinase 4","-","-"
"BraA06000985",-3.63700959953944,3.17953595261645,23.501036551426,0.000123500589893099,0.000320141515961359,FALSE,"BraA06000985","AT3G19820","DWF1","cell elongation protein / DWARF1 / DIMINUTO (DIM)","-","YES"
"BraA03002625",-3.06423548601554,3.45724635252467,23.2360321457976,0.000131178879547843,0.000337654221436313,FALSE,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA08004017",-3.99524167671429,1.36589160310255,23.194031227623,0.000132443859369627,0.000340552741370423,TRUE,"BraA08004017","AT1G02400","GA2OX6","gibberellin 2-oxidase 6","-","-"
