"Gene_ID","logFC_WT","logFC_phyB","logCPM_WT","logCPM_phyB","PValue_WT","PValue_phyB","FDR_WT","FDR_phyB","sig_conditions","GO:0009507_Chloroplast","A._thaliana_best_hit","Symbol","Description","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.24_Avg_CPM","phyB.24_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM"
"BraA01003810",-1.63540928417582,-0.61260066913447,4.00408176107752,4.00408176107752,1.79450030610775e-08,0.0110293538447133,1.65041798345809e-07,0.0191550291863387,"WT_down","-","AT3G17611","RBL14","RHOMBOID-like protein 14","10.25166","11.50301","10.26354","11.11815","42.41864","22.14706","10.89377","12.26976"
"BraA09001660",-1.8592121928492,-0.861532289380957,3.63760622230687,3.63760622230687,3.62776061065675e-07,0.00833122883118459,2.12239358248906e-06,0.0149627500916072,"WT_down","-","AT1G62740","Hop2","stress-inducible protein"," 9.285933","11.986242"," 8.145699"," 8.177151","29.879736","19.023340"," 6.511588"," 8.877600"
"BraA10000316",-1.89786271170176,-0.907477904252614,3.45529537927697,3.45529537927697,5.93883409769665e-07,0.00794869854498264,3.24912230440547e-06,0.0143592924478396,"WT_down","yes","AT1G04590","AT1G04590","PPR containing-like protein"," 6.155613"," 8.181522"," 5.938189"," 9.870579","26.137565","20.426686"," 5.637367"," 9.220064"
"BraA03000917",-2.99777840581783,-0.887323099813843,5.68496636461919,5.68496636461919,6.62369312476378e-07,0.0759494048077194,3.56799896590629e-06,0.10733982505823,"WT_down","-","AT5G18600","AT5G18600","Thioredoxin superfamily protein"," 47.06644"," 25.53634"," 53.28420"," 51.14993","129.35640"," 67.16474"," 12.54767"," 30.91744"
"BraA01002944",-1.13914460193163,-0.312383705049808,3.56666910143129,3.56666910143129,7.31885476035194e-07,0.118166658506838,3.89742352646738e-06,0.158888023654334,"WT_down","-","AT1G58215","#N/A","#N/A"," 9.445478"," 9.753348"," 9.704982","11.425197","20.125772","16.965393"," 7.233249","11.603363"
"BraA09005046",-1.43840994030399,-0.768436734326965,4.2793382581625,4.2793382581625,1.25662872129458e-06,0.00576834848696836,6.20041883171682e-06,0.0108371693942328,"WT_down","-","AT3G56900","AT3G56900","Transducin/WD40 repeat-like superfamily protein","13.78872","14.63377","13.30973","19.99690","41.67217","30.10837","12.17961","15.01590"
"BraA07001417",-1.70865200521812,-0.586249327241663,4.35780367093647,4.35780367093647,1.47088432058698e-06,0.0643113822119787,7.0865378653318e-06,0.0926300472196692,"WT_down","-","AT1G32870","NAC13","NAC domain protein 13"," 9.342844","18.959680"," 9.929054","17.041008","57.471005","28.532324","13.881969","16.047987"
"BraA10002784",-4.26649555015244,-1.46913013220574,4.31973737676324,4.31973737676324,1.74128811890432e-06,0.0386153647513005,8.15467866455042e-06,0.0588332050319881,"WT_down","-","AT5G07200","GA20OX3","gibberellin 20-oxidase 3"," 3.689248","29.285181"," 5.193319","28.622658","48.405000","45.478653"," 2.048017","14.015119"
"BraA09004087",-1.25011943427723,-0.364028730693541,4.91553783561322,4.91553783561322,1.8607742974637e-06,0.119627400563735,8.6354386249195e-06,0.160618893190581,"WT_down","-","AT1G26460","AT1G26460","Tetratricopeptide repeat (TPR)-like superfamily protein","26.67057","27.26541","26.81002","31.13718","53.29615","37.83929","17.80935","24.97679"
"BraA05000113",-2.38791417724051,-1.2459094285624,4.81887836368889,4.81887836368889,1.96452934071775e-06,0.0077381101154124,9.04143035757232e-06,0.0140158634311382,"WT_down","-","AT2G40940","ERS1","ethylene response sensor 1","  9.409699"," 17.315574","  8.554606"," 18.782158","113.548167"," 40.080106"," 16.712024"," 14.159806"
"BraA08002685",-1.07811384551047,-0.558032975341509,3.46327191361792,3.46327191361792,2.68834973513131e-06,0.0100443178951828,1.18324304784769e-05,0.0176349764272367,"WT_down","-","AT4G38480","AT4G38480","Transducin/WD40 repeat-like superfamily protein"," 7.975204"," 8.659576"," 8.538643","10.120936","19.036134","17.964607"," 7.209049","10.383462"
"BraA03005442",-2.20086180591817,-1.23890507453737,3.06771361704214,3.06771361704214,3.29511167185994e-06,0.00626866332143342,1.41014295038269e-05,0.0116547083249896,"WT_down","-","AT4G23440","AT4G23440","Disease resistance protein (TIR-NBS class)"," 8.143803"," 6.458803"," 6.612617"," 5.625432","22.676027","10.488655"," 3.853284"," 3.731417"
"BraA03004292",-2.11280569662793,-0.840119861668141,3.81476926332885,3.81476926332885,3.68775497795697e-06,0.0455851903709171,1.55076845720125e-05,0.068249871248762,"WT_down","-","AT3G22370","AOX1A","alternative oxidase 1A"," 5.245310"," 7.979000"," 4.761529","10.365471","51.990398","17.442861"," 9.635944"," 8.158363"
"BraA09000285",-1.80058467650512,-0.633060781007489,2.39222544907571,2.39222544907571,3.86768346640296e-06,0.0702289136436964,1.61521193317014e-05,0.100145234712066,"WT_down","-","AT4G03610","AT4G03610","Metallo-hydrolase/oxidoreductase superfamily protein"," 3.190117"," 4.409635"," 3.520200"," 6.027740","10.659659"," 8.043112"," 2.376636"," 4.433301"
"BraA07000129",-2.14286182976476,-0.497418565710503,2.76999695076533,2.76999695076533,4.39825616732798e-06,0.219335159701988,1.80470677981602e-05,0.273929652758018,"WT_down","yes","AT2G19490","RECA2","recA DNA recombination family protein"," 2.921713"," 5.799947"," 3.041562"," 8.140608","15.713063","11.947794"," 2.821492"," 7.176705"
"BraA05002124",-2.12430759774283,-1.04677430866242,3.38070981230723,3.38070981230723,5.26635341085348e-06,0.0149968221805895,2.11071633553316e-05,0.025256792330674,"WT_down","-","AT1G47380","AT1G47380","Protein phosphatase 2C family protein"," 5.637132","14.620965"," 4.037225","16.130111","19.556381","18.230460"," 3.436856"," 7.410703"
"BraA02000857",-2.42212131180705,-0.133477679196872,6.15759454720131,6.15759454720131,5.60912907381405e-06,0.771102012760286,2.22892430249515e-05,0.809844910979309,"WT_down","-","AT5G18600","AT5G18600","Thioredoxin superfamily protein"," 73.16491"," 47.32257"," 94.69569"," 90.57246","135.06074"," 60.23796"," 19.93708"," 46.71276"
"BraA01004820",-1.08138420305369,-0.614216392341002,3.08509521842405,3.08509521842405,6.56293024993989e-06,0.00810697450963671,2.54937122739521e-05,0.0146133507537428,"WT_down","yes","AT3G02065","AT3G02065","P-loop containing nucleoside triphosphate hydrolases superfamily protein"," 6.406096"," 7.560470"," 7.792222"," 6.557416","13.733605","13.804627"," 5.088848"," 7.659556"
"BraA10002617",-1.89024070370079,-0.985746223995704,3.81041327496606,3.81041327496606,7.2320184429484e-06,0.0138308233552474,2.76963431367416e-05,0.0234941894681194,"WT_down","-","AT5G05690","CPD","Cytochrome P450 superfamily protein","12.316236","10.624652","14.001830","14.282152","28.403455","19.221697"," 6.025411"," 8.305325"
"BraA04000154",-1.40828233208804,-0.692817241963186,5.83506052558639,5.83506052558639,7.61480297379666e-06,0.0207349904848199,2.89160431381325e-05,0.0337716008103338,"WT_down","yes","AT3G60880","DHDPS1","dihydrodipicolinate synthase 1","41.72565","51.11468","43.08012","70.63065","97.69597","94.70408","29.21782","49.96898"
"BraA05000631",-1.6550094127672,-0.917020188989652,5.1492970233242,5.1492970233242,7.96587793190644e-06,0.010268756477422,3.00678461986109e-05,0.0179868937185201,"WT_down","yes","AT2G45000","EMB2766","structural constituent of nuclear pore","23.40499","25.65980","21.29204","30.63978","79.99248","66.72229","20.54356","29.96118"
"BraA09006395",-2.00792278980851,-1.11131486457799,4.68877689928497,4.68877689928497,8.30034553050415e-06,0.00995703414594679,3.11882164359359e-05,0.0175129866417703,"WT_down","-","AT1G13030","AT1G13030","sphere organelles protein-like protein","18.27361","21.17058","12.53422","23.36322","62.25096","49.29865","12.36528","19.38293"
"BraA04002758",-1.82925738290209,-1.08248076204313,5.03087870195771,5.03087870195771,9.16777553391096e-06,0.00700394038376594,3.40332044584336e-05,0.0128472231255653,"WT_down","-","AT2G38120","AUX1","Transmembrane amino acid transporter family protein","12.48939","22.86776","12.78522","17.60648","93.18545","72.25484","20.49100","28.91360"
"BraA10000910",-5.16518640754258,-2.29756847789873,1.97885817019423,1.97885817019423,9.35064457773897e-06,0.0127623781220225,3.46013933890192e-05,0.0218513903666522,"WT_down","-","AT5G53200","TRY","Homeodomain-like superfamily protein"," 0.2653129"," 2.1734625"," 0.0775751"," 4.4678519","11.1619288","14.2075066"," 0.2410943"," 2.4299943"
"BraA09001508",-1.71338058441004,-0.542964176603408,4.52555609336642,4.52555609336642,9.37508842385651e-06,0.124264433947206,3.46638223611702e-05,0.16613598269723,"WT_down","-","AT1G64600","AT1G64600","copper ion binding / methyltransferase","18.38724","15.80010","16.23256","23.23007","48.24346","36.59892","11.75079","21.23029"
"BraA03001770",-2.06785295751467,-0.541714184784733,2.79122814844911,2.79122814844911,9.64826325309131e-06,0.199752267140985,3.55402910375982e-05,0.252335528475049,"WT_down","yes","AT2G31560","AT2G31560","signal transducer/transcription protein, putative (DUF1685)"," 3.045817"," 3.819655"," 2.188438"," 3.415724","21.703791","11.302764"," 4.147298"," 6.542457"
"BraA10003037",-1.71879537721458,-0.877394816611047,3.87585407203462,3.87585407203462,9.70591495963709e-06,0.0179153741666317,3.57359301671784e-05,0.0296112558419387,"WT_down","-","AT5G03740","HD2C","histone deacetylase 2C","12.375686","14.471253"," 8.671693","16.025809","30.540989","22.165597"," 7.334170","10.230184"
"BraA06003878",-2.33259261442562,-1.36086665594682,4.64388166163475,4.64388166163475,1.0221523076383e-05,0.00775373325094324,3.74852686911157e-05,0.0140409297480265,"WT_down","-","AT5G28300","AT5G28300","Duplicated homeodomain-like superfamily protein","14.47397","31.26339","11.51968","27.41511","67.62385","38.26415","10.52103","12.59366"
"BraA08001710",-3.59314196760697,-1.87478867970975,6.28565288965519,6.28565288965519,1.03216961782972e-05,0.0122572553699052,3.78085868853613e-05,0.0210621396858414,"WT_down","yes","AT4G34138","UGT73B1","UDP-glucosyl transferase 73B1"," 33.29676"," 28.82452"," 29.96537"," 75.59955","291.02418","153.64452"," 19.23062"," 35.94033"
"BraA04001733",-5.14246859705545,-2.74818333432355,3.00535104003332,3.00535104003332,1.10870477422941e-05,0.00724797207451278,4.02560856894368e-05,0.0132362316339287,"WT_down","yes","AT2G23770","LYK4","protein kinase family protein / peptidoglycan-binding LysM domain-containing protein"," 1.2871163"," 1.7280828"," 1.1846437"," 3.2260692","37.5018757","19.6754538"," 0.8359659"," 2.4345193"
"BraA03006461",-2.4420959361524,-1.44785728248586,3.16636946684993,3.16636946684993,1.11447996297847e-05,0.0068903976510803,4.0437793031999e-05,0.0126625638094575,"WT_down","-","AT4G36780","BEH2","BES1/BZR1 homolog 2"," 1.251017"," 2.799113"," 2.313202"," 2.695523","32.619420","23.945252"," 4.625583"," 7.388111"
"BraA07002627",-1.69027001536411,-1.04971480403799,3.9925324439013,3.9925324439013,1.12494485212124e-05,0.00552709283929227,4.07423653299316e-05,0.0104399905544774,"WT_down","yes","AT1G75200","AT1G75200","flavodoxin family protein / radical SAM domain-containing protein","12.664385","15.300009"," 9.030803","17.811104","32.471033","27.066740"," 7.953901","11.153579"
"BraA08003660",-2.28543142873781,-0.990848065492732,3.48004505386886,3.48004505386886,1.18754539465489e-05,0.0427254695273711,4.2734258143274e-05,0.0644526442745659,"WT_down","-","AT1G10170","NFXL1","NF-X-like 1"," 4.516238"," 9.269655"," 4.954467","10.100597","35.623319","16.022513"," 5.759417"," 6.799490"
"BraA05003740",-3.91698834955403,-2.27203871890244,3.87045536104552,3.87045536104552,1.27994227440717e-05,0.00665806286493004,4.56418019917734e-05,0.0122742925151088,"WT_down","-","AT3G13790","ATBFRUCT1","Glycosyl hydrolases family 32 protein"," 2.316355"," 1.737645"," 2.145494"," 5.549287","67.243132","36.641757"," 3.611477"," 6.517474"
"BraA10003047",-1.70533204697632,-0.509441646259104,2.58910028362727,2.58910028362727,1.29466653589938e-05,0.153427803479007,4.60520932769631e-05,0.19994648342106,"WT_down","-","AT5G03640","AT5G03640","Protein kinase superfamily protein"," 2.406339"," 6.629288"," 2.647213"," 6.845800","12.274114","10.130293"," 3.027051"," 5.983412"
"BraA06002360",-2.101479425137,-0.978685048421358,5.55571628571454,5.55571628571454,1.36612565274891e-05,0.0318698112030627,4.82775432740635e-05,0.0495829621761596,"WT_down","-","AT1G21830","AT1G21830","hypothetical protein"," 44.45740"," 38.85883"," 25.19290"," 25.18526","120.83487"," 77.58376"," 22.11434"," 33.37759"
"BraA05003701",-1.18235880506184,-0.605886250624765,7.06583308744871,7.06583308744871,1.4098295852371e-05,0.0220855266923208,4.9606021213826e-05,0.0357613619989269,"WT_down","-","AT3G14205","AT3G14205","Phosphoinositide phosphatase family protein"," 97.62361"," 93.77362"," 98.18299","100.90997","286.40185","213.73488"," 99.76508","119.19841"
"BraA09003671",-5.03663718252018,-1.97048273168383,3.92853224356425,3.92853224356425,1.44868937259299e-05,0.0474363549350221,5.08300729483141e-05,0.0706183889792157,"WT_down","-","AT1G30730","AT1G30730","FAD-binding Berberine family protein"," 3.087854"," 2.537386"," 1.740543"," 1.537678","91.462827","18.466884"," 2.157435"," 3.860204"
"BraA06002932",-2.20778502020564,-1.27610512141284,5.54011194632736,5.54011194632736,1.50377214919428e-05,0.0100984036174119,5.25169150839095e-05,0.0177220284243577,"WT_down","-","AT5G61820","AT5G61820","stress up-regulated Nod 19 protein"," 13.73482"," 15.64284"," 18.29133"," 22.88615","165.87587"," 95.25672"," 28.88369"," 33.05411"
