"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003068",3.45279451833012,3.34708689772289,8.56282001675157e-08,0.000120501588964858,"BraA08003068","AT5G28010","AT5G28010","Polyketide cyclase/dehydrase and lipid transport superfamily protein","-","-"
"BraA03004343",3.18253827534929,3.89984562947772,4.76562319321007e-07,0.00046881818163204,"BraA03004343","AT3G23810","SAHH2","S-adenosyl-l-homocysteine (SAH) hydrolase 2","-","YES"
"BraA07001444",2.5287280589417,3.87216611188014,9.70549905388831e-07,0.00076382277554101,"BraA07001444","AT1G22400","UGT85A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA02001088",2.42715679146514,6.30675768548232,1.84318643080324e-06,0.00108841517121619,"BraA02001088","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA06002385",7.87301864008414,4.40869728995272,4.48693242853858e-06,0.00227820375565153,"BraA06002385","AT3G49570","LSU3","response to low sulfur 3","-","-"
"BraA01001042",2.05355085053918,3.39481727752219,5.33624839510092e-06,0.00254522877996632,"BraA01001042","AT4G18220","AT4G18220","Drug/metabolite transporter superfamily protein","-","-"
"BraA09005305",4.41014986752227,4.54383227371016,1.32520730929196e-05,0.00453451370614248,"BraA09005305","AT3G60140","DIN2","Glycosyl hydrolase superfamily protein","-","-"
"BraA07001815",5.10365503805691,3.58304478473474,1.40753240470566e-05,0.00471373618086533,"BraA07001815","AT2G27420","AT2G27420","Cysteine proteinases superfamily protein","-","-"
"BraA06001469",2.62408808534469,2.39255143225884,1.64723894668603e-05,0.00485188590187817,"BraA06001469","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA03003373",3.01804123109196,4.72502610370296,1.8943084255514e-05,0.00505362959630153,"BraA03003373","AT3G04630","WDL1","WVD2-like 1","-","-"
"BraA10002318",3.25309966317438,5.18291615100114,3.089859783771e-05,0.00701383993663226,"BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA02002124",3.82318627446546,3.97364002759714,3.74865267437672e-05,0.00757352965439965,"BraA02002124","AT1G69870","NRT1.7","nitrate transporter 1.7","-","-"
"BraA04003133",3.05902573798553,2.28074144571168,4.75414428323934e-05,0.00890836083549847,"BraA04003133","AT2G43590","AT2G43590","Chitinase family protein","-","-"
"BraA03001284",2.21953757014654,4.70829369310624,9.69935354246463e-05,0.0126112929720768,"BraA03001284","AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA06005005",2.5374263735058,3.89127493652559,9.74539374847623e-05,0.0126112929720768,"BraA06005005","AT4G38420","sks9","SKU5 similar 9","-","-"
"BraA04001215",3.43042829575362,3.26170509563882,0.000138595277620321,0.015694170285927,"BraA04001215","AT5G39050","PMAT1","HXXXD-type acyl-transferase family protein","-","-"
"BraA10002904",2.66875493823055,2.19442841040591,0.0001482254562052,0.0163828228238927,"BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA07003294",3.0207827803021,5.96494822957324,0.000166439573891614,0.0177010736017163,"BraA07003294","AT1G69530","EXPA1","expansin A1","-","YES"
"BraA07003918",2.43175766822657,3.03803891665686,0.000186371788094377,0.0192992891092467,"BraA07003918","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA10001910",3.51450379778584,4.1293805564944,0.000194166679564628,0.0199750557931193,"BraA10001910","AT5G44630","AT5G44630","Terpenoid cyclases/Protein prenyltransferases superfamily protein","-","-"
"BraA01001355",3.85287569242307,7.71118600855802,0.000235212999970182,0.0227132062547894,"BraA01001355","AT4G21990","42463","APS reductase 3","-","-"
"BraA04000595",2.75625234948873,3.38335542487285,0.000239546408430509,0.0228512755678559,"BraA04000595","AT3G54030","BSK6","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA05001406",2.74731477615967,1.97210384842084,0.000255898477888349,0.0235546318243428,"BraA05001406","AT2G32020","AT2G32020","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA03004932",2.00850396695772,7.37993897240479,0.000281394290296738,0.0246063673848369,"BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA08003969",3.08802657128744,2.44239648003148,0.000313816527951038,0.0266998494591856,"BraA08003969","AT1G03790","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein","YES","-"
"BraA06003425",3.43568986068414,4.73405927630738,0.00031575418022261,0.0267202731005585,"BraA06003425","AT2G18193","AT2G18193","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03002625",2.55523535637798,3.45724635252467,0.0003557361399323,0.0290118489250487,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA01000432",2.14356285797288,2.9759883012976,0.000579532732851541,0.0407414709114505,"BraA01000432","AT4G34200","EDA9","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA04001203",2.00250325057294,4.79663492981222,0.000592625712806678,0.0411031203221789,"BraA04001203","AT5G38865","#N/A","#N/A","-","-"
