Gene_ID	A._thaliana_best_hit	Symbol	Description	TF	Leaf_development
BraA05001566	AT4G31590	CSLC5	Cellulose-synthase-like C5	-	-
BraA05001655	AT5G36230	AT5G36230	ARM repeat superfamily protein	-	-
BraA01003652	AT1G67623	AT1G67623	F-box family protein	-	-
BraA01003653	AT2G07240	AT2G07240	cysteine-type peptidase	-	-
BraA01003654	AT2G24615	AT2G24615	Defensin-like (DEFL) family protein	-	-
BraA01003655	AT4G12730	FLA2	FASCICLIN-like arabinogalactan 2	-	-
BraA01003656	AT3G48900	AT3G48900	single-stranded DNA endonuclease family protein	-	-
BraA01003657	AT3G48880	AT3G48880	RNI-like superfamily protein	-	-
BraA01003658	AT3G48870	HSP93-III	Clp ATPase	-	YES
BraA01003659	AT3G48860	AT3G48860	coiled-coil protein	-	-
BraA01003660	AT5G27230	AT5G27230	Frigida-like protein	-	-
BraA01003661	AT3G08660	AT3G08660	Phototropic-responsive NPH3 family protein	-	-
BraA05001656	AT5G36220	CYP81D1	cytochrome p450 81d1	-	-
BraA01003662	AT3G48810	AT3G48810	Pentatricopeptide repeat (PPR) superfamily protein	-	-
BraA01003663	AT1G14690	MAP65-7	microtubule-associated protein 65-7	-	-
BraA01003664	AT3G48800	AT3G48800	Sterile alpha motif (SAM) domain-containing protein	-	-
BraA01003665	AT3G48780	SPT1	serine palmitoyltransferase 1	-	-
BraA01003666	AT3G48750	CDC2	cell division control 2	-	YES
BraA01003667	AT5G47690	AT5G47690	binding protein	-	-
BraA01003668	AT5G58350	WNK4	with no lysine (K) kinase 4	-	-
BraA01003669	AT2G41710	AT2G41710	Integrase-type DNA-binding superfamily protein	YES	-
BraA01003670	AT3G48740	SWEET11	Nodulin MtN3 family protein	-	-
BraA01003671	AT3G48690	CXE12	alpha/beta-Hydrolases superfamily protein	-	-
BraA05001657	AT5G36170	HCF109	high chlorophyll fluorescent 109	-	YES
BraA01003672	AT4G27650	PEL1	Eukaryotic release factor 1 (eRF1) family protein	-	-
BraA01003673	AT3G48700	CXE13	carboxyesterase 13	-	-
BraA01003674	AT3G48660	AT3G48660	transmembrane protein, putative (DUF 3339)	-	-
BraA01003675	AT3G48610	NPC6	non-specific phospholipase C6	-	-
BraA03004205	AT3G20560	PDIL5-3	PDI-like 5-3	-	-
BraA03004206	AT3G20570	ENODL9	early nodulin-like protein 9	-	-
BraA03004207	AT3G20580	COBL10	COBRA-like protein 10 precursor	-	-
BraA03004208	AT3G20600	NDR1	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	-	-
BraA03004209	AT3G20630	UBP14	ubiquitin-specific protease 14	-	-
BraA03004210	AT3G20640	AT3G20640	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	YES	-
BraA05001658	AT1G64870	AT1G64870	hypothetical protein	-	-
BraA03004211	AT4G14368	AT4G14368	Regulator of chromosome condensation (RCC1) family protein	-	-
BraA03004212	AT3G20750	GATA29	GATA transcription factor 29	YES	-
BraA03004213	AT3G20770	EIN3	Ethylene insensitive 3 family protein	YES	YES
BraA03004214	AT3G20865	AGP40	arabinogalactan protein 40	-	-
BraA03004215	AT3G20890	AT3G20890	RNA-binding (RRM/RBD/RNP motifs) family protein	-	-
BraA03004216	AT3G20898	AT3G20898	hypothetical protein	-	-
BraA03004217	AT3G20910	NF-YA9	nuclear factor Y, subunit A9	YES	-
BraA03004218	AT3G20920	AT3G20920	translocation protein-like protein	-	-
BraA03004219	AT3G21055	PSBTN	photosystem II subunit T	-	-
BraA05001659	AT1G49290	AT1G49290	Rho guanine nucleotide exchange factor	-	-
BraA03004220	AT3G21070	NADK1	NAD kinase 1	-	-
BraA03004221	AT3G21110	PUR7	purin 7	-	-
BraA03004222	AT1G51540	AT1G51540	Galactose oxidase/kelch repeat superfamily protein	-	-
