"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003307",3.98332637371261,7.54262673861028,825.075754198481,1.10738731839597e-16,8.5762188576171e-13,FALSE,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA06003490",4.75173131113193,5.42180758813469,803.939651614916,1.39731797059544e-16,8.5762188576171e-13,FALSE,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04003076",6.08476367939517,9.04006307054631,789.984543675484,1.6346033400795e-16,8.5762188576171e-13,FALSE,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA03000987",3.3298917581928,5.37472207265696,675.330915306779,6.64063552656665e-16,2.45327777841755e-12,FALSE,"BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA05000981",3.69932253518885,5.83709117540018,630.538580538361,1.22438977215262e-15,3.21198250228038e-12,FALSE,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA04002129",10.1195031911516,5.28100116309472,596.930935019005,1.99359150303035e-15,4.48273289395681e-12,FALSE,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06002244",3.34405550245253,6.53470213811633,495.513412135001,1.03953063159639e-14,1.85926635621211e-11,FALSE,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA06001576",3.66318586319412,5.66028335678185,488.165496713185,1.18630199918171e-14,1.85926635621211e-11,FALSE,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05003669",5.07526233997831,9.01720444608432,479.792806050463,1.3822219502988e-14,1.85926635621211e-11,FALSE,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA04002623",3.05269764422861,6.75710743907906,478.426295729041,1.41748388021254e-14,1.85926635621211e-11,FALSE,"BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA04002534",4.05327401926119,6.27499535790066,459.1103860215,2.03926027101326e-14,2.46907358967297e-11,FALSE,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA07003967",7.8424722240894,9.84074683130825,445.58133770539,2.65440157308718e-14,2.98430576859945e-11,FALSE,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA02001698",5.04009140598347,6.13919092361815,427.828743095681,3.79654130132543e-14,3.98383733885749e-11,FALSE,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA09001106",6.80619827155847,10.6070842384182,418.175388014188,4.64006753334693e-14,4.35705787297558e-11,FALSE,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA03000453",3.1319633464728,6.77056369653165,413.120161181991,5.16332085663319e-14,4.51503723796702e-11,FALSE,"BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA01000119",5.53392690594179,9.39944098638196,379.538107353018,1.08584625089151e-13,6.83648799561295e-11,FALSE,"BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA07003370",3.84507200881948,6.9424113352584,372.818377490722,1.26952272479545e-13,7.265829367231e-11,FALSE,"BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA06002613",6.15666771122591,5.87208695462808,369.724369290418,1.36547983285188e-13,7.265829367231e-11,FALSE,"BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA08003464",6.71474017455519,7.98809368431942,368.327905566309,1.41140270433366e-13,7.265829367231e-11,FALSE,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA09000731",4.74525090865657,4.98597614683704,362.90206744884,1.60681371176736e-13,7.36078986328522e-11,FALSE,"BraA09000731","AT5G61060","HDA05","histone deacetylase 5","-","-"
"BraA01000537",5.47757398235662,11.6687695938798,362.291431198908,1.63062293183753e-13,7.36078986328522e-11,FALSE,"BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA08002432",7.81361815566962,6.93902538317577,361.517672594427,1.66135637033087e-13,7.36078986328522e-11,FALSE,"BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA05004133",7.2290627342924,5.30241170673887,361.068940069623,1.6794739156352e-13,7.36078986328522e-11,FALSE,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA10001684",4.96766276043044,5.70445803506692,360.435607514333,1.705418752816e-13,7.36078986328522e-11,FALSE,"BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA04001528",3.87867337190405,5.48581308238699,357.631214945432,1.82577129167033e-13,7.53867332744286e-11,FALSE,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06000973",3.5696083478864,5.89367440676863,353.789510805631,2.006215826794e-13,7.73631968348409e-11,FALSE,"BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA08003566",4.91328446437066,8.51855947805933,353.6087917544,2.01517857066612e-13,7.73631968348409e-11,FALSE,"BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA03000586",3.85564197344844,7.1846349253932,347.828928501193,2.32664847070651e-13,8.71939212593345e-11,FALSE,"BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA02001404",4.26867141717077,4.44689524211633,341.631738647229,2.72120949130441e-13,9.66863303389031e-11,FALSE,"BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA03005881",4.76840465883063,4.25210484158519,340.671908011692,2.78871216204969e-13,9.66863303389031e-11,FALSE,"BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA04003129",8.73670108356923,5.09903430125525,339.318446157764,2.88707593769279e-13,9.66863303389031e-11,FALSE,"BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA09005382",4.16532707950361,3.64206395969441,336.216409104029,3.12736610759316e-13,1.02551546944826e-10,FALSE,"BraA09005382","AT3G61220","SDR1","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06004063",3.07114609479225,6.86397418751923,327.462066385336,3.93398490997879e-13,1.19078697082819e-10,FALSE,"BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA09000087",6.69620184066461,9.39190501098394,324.017602094267,4.31258528005161e-13,1.25703874644467e-10,FALSE,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA03000839",3.04843155615747,6.8960821089399,322.14567520305,4.53517111507039e-13,1.29788351547651e-10,FALSE,"BraA03000839","AT5G17310","UGP2","UDP-glucose pyrophosphorylase 2","-","-"
"BraA01002846",9.98506371082199,8.02502021965589,317.148064488106,5.19445277450273e-13,1.4600122619763e-10,FALSE,"BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA04000964",4.91134007166419,6.7961235874581,316.477223263984,5.29077454700219e-13,1.46099633982131e-10,FALSE,"BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA01002037",4.15498242313839,9.25642814099236,314.886810733698,5.52714670792733e-13,1.49295108451444e-10,FALSE,"BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA05001006",3.42661825395118,8.26492012864893,312.367430456134,5.92593455573474e-13,1.49295108451444e-10,FALSE,"BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
