"","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","woundCtrl_phyB","Gene_ID","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","woundCtrl_WT","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"1",-9.71467812798274,5.28100116309472,502.944575527986,9.11295627460197e-15,1.43437931762235e-10,FALSE,"BraA04002129",-10.3626966728409,5.28100116309472,629.128155279904,1.24905574599596e-15,4.91503436049409e-12,FALSE,"AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"2",-4.78913585418252,9.04006307054631,414.781855710141,4.98443130701746e-14,2.4453535835783e-10,FALSE,"BraA04003076",-5.66546904506591,9.04006307054631,712.346613777107,4.12372915066131e-16,4.91503436049409e-12,FALSE,"AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"3",-3.6960966844701,5.42180758813469,407.287854083609,5.84990894022844e-14,2.4453535835783e-10,FALSE,"BraA06003490",-4.00133729035065,5.42180758813469,596.595060387154,2.00359541028822e-15,6.30731835158732e-12,FALSE,"AT2G17320","AT2G17320","pantothenate kinase","-","-"
"4",-3.84905368677589,6.27499535790066,322.763251849136,4.46035852923492e-13,1.13721339866876e-09,FALSE,"BraA04002534",-3.9823421282229,6.27499535790066,445.888814103223,2.63832043948729e-14,5.93245195964713e-11,FALSE,"AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"5",-4.26916251008707,5.48581308238699,303.591089498312,7.58560193620915e-13,1.19397374475932e-09,FALSE,"BraA04001528",-3.41584205139994,5.48581308238699,284.981687475872,1.31043706256432e-12,3.32681925238104e-10,FALSE,"AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"6",-8.34388182723919,5.09903430125525,277.635790527201,1.64129647225617e-12,2.34854604302837e-09,FALSE,"BraA04003129",-9.2983429975974,5.09903430125525,385.812498794107,9.40640978068646e-14,9.2535556217503e-11,FALSE,"AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"7",-6.58731452478982,7.98809368431942,269.915508918117,2.09218928413801e-12,2.53315841017941e-09,FALSE,"BraA08003464",-6.20067639948644,7.98809368431942,325.325285209565,4.16428677925752e-13,2.20034145650822e-10,FALSE,"AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"8",-6.90590736564892,5.30241170673887,266.98864973909,2.2977738051429e-12,2.58335426378209e-09,FALSE,"BraA05004133",-6.73466684109415,5.30241170673887,316.923041087393,5.22654389551956e-13,2.22340002474264e-10,FALSE,"AT5G02120","OHP","one helix protein","-","-"
"9",-7.08952989579862,9.39190501098394,264.260692066762,2.50972655979683e-12,2.60785271160482e-09,FALSE,"BraA09000087",-7.52233128223833,9.39190501098394,382.63601930641,1.01126324086265e-13,9.36310788892834e-11,FALSE,"AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"10",-5.82198420712766,10.6070842384182,250.281554319927,3.9994964911396e-12,3.14147068625523e-09,FALSE,"BraA09001106",-6.44246051736567,10.6070842384182,386.449932775356,9.27138292821451e-14,9.2535556217503e-11,FALSE,"AT2G15620","NIR1","nitrite reductase 1","-","-"
"11",-6.1514611272613,9.84074683130825,238.342203163914,6.07307692043756e-12,3.89964488390448e-09,FALSE,"BraA07003967",-7.40579538805706,9.84074683130825,412.227507756476,5.2623516893907e-14,8.18120209208188e-11,FALSE,"AT1G77760","NIA1","nitrate reductase 1","-","-"
"12",-5.73398604468889,7.8456669337358,237.792708987611,6.1938451142066e-12,3.89964488390448e-09,FALSE,"BraA10002909",-4.87885438339127,7.8456669337358,249.647542411316,4.08726646815988e-12,6.0124835709193e-10,FALSE,"AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"13",-6.15790867065333,8.22515117782685,224.329955975441,1.01727724018319e-11,5.82642533835395e-09,FALSE,"BraA07003829",-5.77623059830025,8.22515117782685,272.13882405408,1.94964588708062e-12,4.03781924508538e-10,FALSE,"AT1G76100","PETE1","plastocyanin 1","-","-"
"14",-3.97962037592037,6.13919092361815,222.060720936316,1.10901872961122e-11,5.82642533835395e-09,FALSE,"BraA02001698",-4.09801883399672,6.13919092361815,302.587231808077,7.80624330571075e-13,2.6142610559976e-10,FALSE,"AT5G52030","AT5G52030","TraB family protein","-","-"
"15",-6.41612338453827,6.93902538317577,219.611846879673,1.21845080194885e-11,5.82642533835395e-09,FALSE,"BraA08002432",-7.57243194042291,6.93902538317577,344.352308161265,2.53952648745077e-13,1.73791943097718e-10,FALSE,"AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"16",-3.52425425777394,4.84440089447279,219.235320895823,1.23631537094514e-11,5.82642533835395e-09,FALSE,"BraA07000048",-3.88834877150651,4.84440089447279,331.300004742184,3.55497119920447e-13,2.07241654353624e-10,FALSE,"AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"17",-9.51951170417025,8.02502021965589,219.126755179675,1.24152018054577e-11,5.82642533835395e-09,FALSE,"BraA01002846",-9.67827982958731,8.02502021965589,304.310208499698,7.43179786432737e-13,2.59947774187806e-10,FALSE,"AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"18",-3.44905794387016,7.1846349253932,217.944164769271,1.29981757177166e-11,5.82642533835395e-09,FALSE,"BraA03000586",-3.53862366237254,7.1846349253932,301.258480701068,8.10931895832243e-13,2.6591808417499e-10,FALSE,"AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"19",-3.29116070080422,8.26492012864893,217.916204073794,1.30123219392855e-11,5.82642533835395e-09,FALSE,"BraA05001006",-3.11438295206012,8.26492012864893,265.841256271768,2.38440216096877e-12,4.41535176631157e-10,FALSE,"AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"20",-3.69116272227685,9.01720444608432,217.56633817683,1.3190781799348e-11,5.82642533835395e-09,FALSE,"BraA05003669",-4.51661026206073,9.01720444608432,399.957778558661,6.86055301209348e-14,8.4651625797877e-11,FALSE,"AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"21",-4.30853832529237,8.51855947805933,216.500457998797,1.37514197126602e-11,5.82642533835395e-09,FALSE,"BraA08003566",-4.63869863251037,8.51855947805933,322.90266936653,4.44365968904074e-13,2.20034145650822e-10,FALSE,"AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"22",-3.55487666895211,7.66893645006914,215.876906662955,1.40916234431989e-11,5.82642533835395e-09,FALSE,"BraA03000235",-3.63442830241621,7.66893645006914,300.513949436422,8.2848303536062e-13,2.66129040338289e-10,FALSE,"AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
