"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06004817",-2.72089748528287,7.58741714253946,1.12699103048544e-15,1.77388388198408e-11,"BraA06004817",NA,NA,NA,NA,NA
"BraA09005783",-3.57913978821529,5.98417396552737,4.2923215194117e-09,9.55776065852183e-06,"BraA09005783","AT5G43745","AT5G43745","ion channel POLLUX-like protein, putative (DUF1012)","-","-"
"BraA03001901",-2.11133181033862,3.9752304734341,9.18690640138691e-08,0.000120501588964858,"BraA03001901","AT2G34360","AT2G34360","MATE efflux family protein","-","-"
"BraA08001647",-3.76815884851034,4.03794295575529,4.04388151079639e-07,0.000424337966532902,"BraA08001647","AT4G34950","AT4G34950","Major facilitator superfamily protein","-","-"
"BraA08003050",-2.88802871372886,2.80304369908708,1.08587768217759e-06,0.000813891177022633,"BraA08003050","AT1G23460","AT1G23460","Pectin lyase-like superfamily protein","-","-"
"BraSca000243",-2.53502978867113,6.62517126530205,1.21762193773666e-06,0.000871153149998862,"BraSca000243","AT5G23960","TPS21","terpene synthase 21","-","-"
"BraA07003413",-2.76994972569123,8.79886629002679,1.67071678472354e-06,0.00108841517121619,"BraA07003413","AT1G70820","AT1G70820","phosphoglucomutase, putative / glucose phosphomutase","-","-"
"BraA09002859",-2.38874497245269,4.30883465984752,1.8670400014509e-06,0.00108841517121619,"BraA09002859","AT4G08160","AT4G08160","glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein","-","-"
"BraA05003527",-3.13714100345988,6.46851211680608,3.0798516731992e-06,0.00173131661914841,"BraA05003527","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-"
"BraA02002022",-2.13040001301609,4.50877830944381,7.6183679701583e-06,0.0030746951756485,"BraA02002022","AT1G68570","AT1G68570","Major facilitator superfamily protein","-","-"
"BraA03002666",-3.48351551639359,1.97319967773239,1.50844900562129e-05,0.00485188590187817,"BraA03002666",NA,NA,NA,NA,NA
"BraA08003169",-2.13873556202495,5.12770904612917,1.54048064823352e-05,0.00485188590187817,"BraA08003169","AT1G20850","XCP2","xylem cysteine peptidase 2","-","YES"
"BraA08000233",-2.43702310297807,4.66707440155081,3.0396804150252e-05,0.00701383993663226,"BraA08000233","AT1G52030","MBP2","myrosinase-binding protein 2","-","-"
"BraA01000330",-2.19681834935022,4.75658304114377,5.15586986258975e-05,0.00930520686343765,"BraA01000330","AT4G35350","XCP1","xylem cysteine peptidase 1","-","YES"
"BraA09000027",-2.24404665622494,3.21307401046068,5.20501852267648e-05,0.00930520686343765,"BraA09000027","AT4G00230","XSP1","xylem serine peptidase 1","-","-"
"BraA02001705",-2.83820687192737,2.55827532382945,5.97181620455793e-05,0.0098943565326044,"BraA02001705","AT5G51890","AT5G51890","Peroxidase superfamily protein","-","-"
"BraA02000474",-2.28667299131991,2.95003588657167,9.81433915716767e-05,0.0126112929720768,"BraA02000474","AT5G12270","AT5G12270","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA04002167",-2.68545285320962,7.04404391622928,0.000157236993389046,0.0170683467306454,"BraA04002167","AT2G29670","AT2G29670","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA01004368",-5.18921735285112,4.35794966552628,0.000161054475744283,0.0173629962206508,"BraA01004368","AT3G10185","AT3G10185","Gibberellin-regulated family protein","-","-"
"BraA08003254",-5.34047479544426,4.2625270405404,0.000222498481511816,0.0220259503081508,"BraA08003254","AT1G19050","ARR7","response regulator 7","-","YES"
"BraA09005075",-5.00673444182676,4.48537259562357,0.000272594521920437,0.0243786237217481,"BraA09005075","AT3G55870","AT3G55870","ADC synthase superfamily protein","-","-"
"BraA07001776",-2.4198543113525,4.09939195711669,0.000291921625575867,0.0252464087173855,"BraA07001776","AT2G26695","AT2G26695","Ran BP2/NZF zinc finger-like superfamily protein","-","-"
