"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA10000108"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-8.63935308617887	32.7960774223097	1.07967394967332e-05	0.03920232500039
"BraA09001088"	"AT2G14890"	"AGP9"	"arabinogalactan protein 9"	"-"	"-"	-5.96735703637906	23.1323651123474	5.03071835293876e-05	0.0761138444130251
"BraA09001619"	"AT1G63220"	"AT1G63220"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"-"	"-"	-5.27226916420607	28.618621553864	1.64081061530551e-05	0.03920232500039
"BraA05000169"	"AT2G46970"	"PIL1"	"phytochrome interacting factor 3-like 1"	"YES"	"YES"	-4.80707175144116	39.0985479133446	1.06962807747374e-06	0.0234473170863019
"BraA09006975"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-4.51677306524889	24.1427994870966	3.80250210137492e-05	0.0694622071368664
"BraA09000479"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.98370294253388	31.271042311611	6.14952613111807e-06	0.0278405087563857
"BraA09000481"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.87491642956926	31.1367312199154	6.35019131344046e-06	0.0278405087563857
"BraA03002114"	"AT2G38360"	"PRA1.B4"	"prenylated RAB acceptor 1.B4"	"-"	"-"	-3.24835358385811	26.8777988632641	1.78834565030747e-05	0.03920232500039
"BraSca000802"	"AT3G05640"	"AT3G05640"	"Protein phosphatase 2C family protein"	"-"	"-"	-2.84664560956864	24.491911128837	3.45672732277731e-05	0.0688862905841831
"BraA05000113"	"AT2G40940"	"ERS1"	"ethylene response sensor 1"	"-"	"YES"	-2.38301106517778	23.3086770264177	4.788846692627e-05	0.0761138444130251
"BraA06003315"	"AT5G65380"	"AT5G65380"	"MATE efflux family protein"	"-"	"-"	-2.10869793426565	27.2649735564081	1.64500352848573e-05	0.03920232500039
"BraA01004729"	"AT3G02570"	"MEE31"	"Mannose-6-phosphate isomerase, type I"	"-"	"-"	-1.95139410861418	32.1234608521672	4.86938481748396e-06	0.0278405087563857
"BraA05001033"	"AT2G36530"	"LOS2"	"Enolase"	"-"	"YES"	-1.75100585079647	28.1123224315946	1.30153369262358e-05	0.03920232500039
"BraA01000956"	"AT4G28640"	"IAA11"	"indole-3-acetic acid inducible 11"	"-"	"YES"	-1.36925554912242	34.3842427047405	2.88358252785577e-06	0.0278405087563857
"BraA08002381"	"AT4G37470"	"KAI2"	"alpha/beta-Hydrolases superfamily protein"	"-"	"YES"	1.18394323038974	22.9347482717741	5.2082827708379e-05	0.0761138444130251
