"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03003874",1.84845450103763,4.78051121436367,7.38587120908424e-15,1.16253612830986e-10,FALSE," 5.384240","19.458835","BraA03003874","AT3G13930","AT3G13930","Dihydrolipoamide acetyltransferase, long form protein","-","YES"
"BraA06001733",1.17614064834962,4.49862407647708,1.01257469582473e-08,4.0500075113477e-05,FALSE,"13.51002","30.62903","BraA06001733","AT1G15470","AT1G15470","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA05001033",1.57611516963089,7.10871027987495,1.02922681355723e-08,4.0500075113477e-05,FALSE," 56.34583","168.10804","BraA05001033","AT2G36530","LOS2","Enolase","-","YES"
"BraA03000173",1.06433039817499,3.99326599840921,1.26366497129885e-06,0.00180818969529489,FALSE,"14.111461","29.397009","BraA03000173","AT5G04520","AT5G04520","3-oxoacyl-acyl-carrier synthase-like protein (Protein of unknown function DUF455)","-","-"
"BraA03000286",1.40832800638777,5.66512149396408,2.14372635410658e-06,0.00241992925485685,FALSE,"31.67291","84.06051","BraA03000286","AT5G06850","FTIP1","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","-","-"
"BraA06002385",7.87304900617489,4.40845104694435,4.33610930017322e-06,0.0040147270814545,FALSE," 0.000000"," 2.837046","BraA06002385","AT3G49570","LSU3","response to low sulfur 3","-","-"
"BraA03000234",1.37209731267266,6.62625656086405,8.46872667843801e-06,0.00605898899630065,FALSE," 27.57510"," 71.38746","BraA03000234","AT5G05730","ASA1","anthranilate synthase alpha subunit 1","-","-"
"BraA03003373",3.01787554215639,4.7258794875192,1.18919074592276e-05,0.00770040231293995,FALSE," 7.27141","59.13682","BraA03003373","AT3G04630","WDL1","WVD2-like 1","-","-"
"BraA03000159",1.09862954683139,3.97359583667239,1.28714064352462e-05,0.00770040231293995,FALSE,"12.203296","26.092189","BraA03000159","AT5G04170","AT5G04170","Calcium-binding EF-hand family protein","-","-"
"BraA03004343",3.17641445796412,3.89852363619313,1.95321278614516e-05,0.0106012307772154,FALSE," 0.7604212"," 6.8766768","BraA03004343","AT3G23810","SAHH2","S-adenosyl-l-homocysteine (SAH) hydrolase 2","-","YES"
"BraA03000618",1.27915825443301,4.75940751262011,2.83570603694937e-05,0.0143980687166397,FALSE,"10.656030","25.880316","BraA03000618","AT5G13710","SMT1","sterol methyltransferase 1","-","-"
"BraA02001088",2.42992113514605,6.30664432265894,3.46609515285417e-05,0.0160459816782131,FALSE,"  2.330986"," 12.705465","BraA02001088","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA01001042",2.04598916704573,3.39510909377478,6.08744586419799e-05,0.0227576213940179,FALSE," 1.026392"," 4.184142","BraA01001042","AT4G18220","AT4G18220","Drug/metabolite transporter superfamily protein","-","-"
"BraA03000374",1.06803436848263,4.27935082320817,6.21713926266056e-05,0.0227576213940179,FALSE," 6.615272","14.152592","BraA03000374","AT5G08390","AT5G08390","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA03004292",1.57619220301517,3.81476926332885,7.28426993045595e-05,0.0246914367461619,FALSE,"14.999151","44.661529","BraA03004292","AT3G22370","AOX1A","alternative oxidase 1A","-","YES"
"BraA03000343",1.57436202742828,3.50213263994441,8.81230761234809e-05,0.0266741772727613,FALSE," 3.764197","11.323502","BraA03000343","AT5G08040","TOM5","mitochondrial import receptor subunit TOM5-like protein","-","-"
"BraA02002124",3.81549593191282,3.97275320130127,0.000113189025258543,0.0316758011423024,FALSE," 0.06236661"," 1.01268698","BraA02002124","AT1G69870","NRT1.7","nitrate transporter 1.7","-","-"
"BraA07003294",3.01952911026273,5.9648268817302,0.000115004296790511,0.0316758011423024,FALSE,"  0.1559165","  1.3912567","BraA07003294","AT1G69530","EXPA1","expansin A1","-","YES"
"BraA04000595",2.75375113638533,3.38328452532424,0.000133942971834936,0.0334644821695539,FALSE," 0.5623646"," 3.9597202","BraA04000595","AT3G54030","BSK6","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA08003969",3.08808728895094,2.44250633996295,0.000143330968251209,0.0342932520836174,FALSE," 3.6289452","30.9387198","BraA08003969","AT1G03790","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein","YES","-"
"BraA04001215",3.43042184056256,3.25965015786251,0.000154707059463845,0.0358101340582488,FALSE," 2.028639","21.987405","BraA04001215","AT5G39050","PMAT1","HXXXD-type acyl-transferase family protein","-","-"
