"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09006785",6.65406225281304,0.118526739602855,1.42945985572767e-15,1.12498490645767e-11,"BraA09006785","AT1G06080","ADS1","delta 9 desaturase 1","-","-"
"BraA03005048",6.95061193308875,-1.03379595469909,7.12056831250374e-09,7.47184968258725e-06,"BraA03005048","AT4G17030","EXLB1","expansin-like B1","-","YES"
"BraA06002134",2.77739229813325,2.09548647119684,6.83989397134274e-08,4.8936332322243e-05,"BraA06002134","AT1G19670","CLH1","chlorophyllase 1","-","-"
"BraA01001908",3.34063007258167,1.03700821017291,2.07836547847654e-07,0.000125821048581619,"BraA01001908",NA,NA,NA,NA,NA
"BraA01003979",3.42596093816662,6.10380791042175,1.18312957126336e-05,0.00252398740755061,"BraA01003979","AT3G15450","AT3G15450","aluminum induced protein with YGL and LRDR motifs","-","-"
"BraA03000648",3.0278667405073,4.25103702838277,1.20555610550289e-05,0.00253006041341541,"BraA03000648",NA,NA,NA,NA,NA
"BraA06000882",3.14363969431547,1.69689936979141,2.42430726678626e-05,0.00439189472242263,"BraA06000882",NA,NA,NA,NA,NA
"BraA06002605",3.36198632206452,-0.493514604667297,2.4275402849477e-05,0.00439189472242263,"BraA06002605","AT3G47340","ASN1","glutamine-dependent asparagine synthase 1","-","YES"
"BraA04000539",4.71860293057875,2.06788137431044,8.46015219951495e-05,0.0109149832475709,"BraA04000539","AT5G63420","emb2746","RNA-metabolising metallo-beta-lactamase family protein","YES","-"
"BraA07003113",3.85943128056012,2.61763230194115,0.00011280757849205,0.0132506812348125,"BraA07003113","AT1G67280","AT1G67280","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein","-","-"
"BraA03001861",3.37570895771168,2.97413619259194,0.000117280825660945,0.0136740755252094,"BraA03001861","AT2G33380","RD20","Caleosin-related family protein","-","YES"
"BraA01000166",2.35259414856424,4.86640212363339,0.000182259088820713,0.017809218668195,"BraA01000166","AT4G37370","CYP81D8","cytochrome P450, family 81, subfamily D, polypeptide 8","-","-"
"BraA09002457",2.36390431980618,3.97631837970636,0.000185559838728334,0.017809218668195,"BraA09002457","AT1G64720","CP5","Polyketide cyclase/dehydrase and lipid transport superfamily protein","-","-"
"BraA05004265",4.8706159407899,0.773766187540192,0.000294899974384226,0.0250904086313931,"BraA05004265","AT3G07350","AT3G07350","sulfate/thiosulfate import ATP-binding protein, putative (DUF506)","-","-"
"BraA08001274",2.7215440169657,0.0304803542422655,0.000309073099058076,0.0258766520168836,"BraA08001274","AT4G16520","ATG8F","Ubiquitin-like superfamily protein","-","-"
"BraA03003788",3.68692379644023,1.58299464769495,0.000312012425362465,0.0259772558954613,"BraA03003788","AT3G12500","HCHIB","basic chitinase","-","-"
"BraA03001284",3.04823059542379,-1.25543633147572,0.000359958583380387,0.0286148894060974,"BraA03001284","AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA08004017",3.38378605301671,-1.25177305597527,0.000716720434636659,0.0442595262516679,"BraA08004017","AT1G02400","GA2OX6","gibberellin 2-oxidase 6","-","-"
"BraA08004011",2.04905740961339,5.59766475906848,0.000740816685138519,0.0453714187707404,"BraA08004011",NA,NA,NA,NA,NA
"BraA09006013",4.07059278957821,4.12662574039898,0.0008025195039376,0.0474874323006685,"BraA09006013",NA,NA,NA,NA,NA
"BraA05003973",2.72212309555246,1.95602632382517,0.000843024770026488,0.0488912715625665,"BraA05003973","AT3G11280","AT3G11280","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA04003070",2.44273053013589,4.05728982408253,0.000864146551773417,0.0493526216707523,"BraA04003070","AT2G42760","AT2G42760","DUF1685 family protein","-","-"
