"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01003391",2.5181209480012,9.27127566181737,294.439543521601,1.08662808014873e-14,7.17388732831617e-12,"BraA01003391",2.74695843964582,9.27127566181737,258.216038323768,4.45451136351407e-14,1.16856681436186e-10," 262.4491"," 283.8053","1503.2376","1905.2715","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-","Both_sig"
"BraA08003963",3.06091004233316,8.81343900393063,247.27048516889,7.07305542776838e-14,2.06166467468656e-11,"BraA08003963",3.05590130801144,8.81343900393063,185.080838193842,1.4892893649201e-12,7.10345897086132e-10," 160.6588"," 152.5330","1340.9511","1268.5787","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES","Both_sig"
"BraA07001630",3.19135753947091,4.6698964572499,213.115452798448,3.41324181257785e-13,5.84776293333555e-11,"BraA07001630",2.77842263637745,4.6698964572499,128.661384001844,5.96592954930489e-11,5.46538732881458e-09," 7.629552","10.146391","70.103388","69.758208","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES","Both_sig"
"BraA07000520",4.60545631448197,6.05775453051384,208.046518142911,4.39541241775956e-13,6.91837914555355e-11,"BraA07000520",3.9190002824686,6.05775453051384,123.531819870879,8.91694496064115e-11,6.9827220736563e-09,"  8.240596"," 16.674503","202.898116","252.327176","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-","Both_sig"
"BraA10003048",2.70178407876337,6.99726568667803,207.405833104793,4.53997783666467e-13,7.07517338109919e-11,"BraA10003048",2.94146979981885,6.99726568667803,181.50089508961,1.82328064762446e-12,7.97178816489139e-10," 51.66354"," 51.40476","336.11578","394.96062","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES","Both_sig"
"BraA07000905",4.90514378505116,6.67377805132086,206.924683691717,4.65193962916517e-13,7.10888638476308e-11,"BraA07000905",4.59056871563826,6.67377805132086,141.400329463756,2.32649339331238e-11,3.20589107466297e-09," 11.57707"," 14.59307","351.72032","351.95769","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-","Both_sig"
"BraA05003779",2.87466344681318,9.03659979005788,206.083763827437,4.85488711951069e-13,7.27770697724745e-11,"BraA05003779",3.08258291689577,9.03659979005788,174.71579685498,2.70225443105433e-12,8.86114265516564e-10," 209.8704"," 181.3535","1538.8628","1536.4011","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-","Both_sig"
"BraA09006467",2.21331103590633,4.85050100912624,204.023476085907,5.39393486495917e-13,7.78903988756489e-11,"BraA09006467",1.98991515635907,4.85050100912624,127.733719791401,6.40911631132052e-11,5.73178924660142e-09,"13.94252","16.48113","64.95843","65.54480","AT1G11890","SEC22","Synaptobrevin family protein","-","-","Both_sig"
"BraA06001302",3.67526760474332,8.95925991543334,200.730916550841,6.39519307460002e-13,8.67188546427238e-11,"BraA06001302",3.01556872808613,8.95925991543334,107.685132537243,3.39706151078118e-10,1.73603078505506e-08," 133.78714"," 182.61980","1708.46208","1476.90145","AT1G09570","PHYA","phytochrome A","-","YES","Both_sig"
"BraA09006846",2.41252687429244,4.75854330948469,187.211309946527,1.32251841539883e-12,1.45569509499144e-10,"BraA09006846",2.44595626228249,4.75854330948469,145.262373158871,1.77417574532943e-11,2.68514675302742e-09,"13.21585","11.16128","70.37126","60.85430","AT1G04590","AT1G04590","PPR containing-like protein","-","-","Both_sig"
"BraA07002414",2.63928087841735,6.12365688119556,185.899011245097,1.42268640090263e-12,1.51304621285185e-10,"BraA07002414",2.78811481858262,6.12365688119556,155.705437279293,8.78688619748326e-12,1.9209109548387e-09," 26.25645"," 33.68100","163.25021","232.76150","AT1G80490","TPR1","TOPLESS-related 1","-","-","Both_sig"
"BraA09003406",2.23601284994114,4.80177373614252,183.647010141606,1.6143236873973e-12,1.63092131362358e-10,"BraA09003406",2.1030424265721,4.80177373614252,125.141623837022,7.84851102809619e-11,6.4910183812802e-09,"13.91000","15.38926","65.46480","66.17931","AT1G33230","AT1G33230","TMPIT-like protein","-","-","Both_sig"
"BraA01001678",2.23984834877892,6.02107460291512,181.609268646664,1.81205236584915e-12,1.77153442474942e-10,"BraA01001678",2.19032071895521,6.02107460291512,131.585608651554,4.77330809679858e-11,4.89193143162478e-09," 33.90396"," 33.57833","160.03650","153.33109","AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-","Both_sig"
"BraA10001974",2.18776511582361,6.12187806668938,180.659196289193,1.91310344048488e-12,1.85878075019951e-10,"BraA10001974",2.09098975087131,6.12187806668938,124.803443519205,8.06085327013855e-11,6.60822033708233e-09," 41.44674"," 33.17540","189.17272","141.36801","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-","Both_sig"
"BraA10001764",2.58217688413515,4.98540881332063,179.993175909448,1.98758560606629e-12,1.90759740484655e-10,"BraA10001764",2.82081950869515,4.98540881332063,160.195889171987,6.57797926413144e-12,1.66995796157143e-09,"13.46994","12.80682","80.95065","90.57032","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-","Both_sig"
"BraA05000076",1.69613885833063,4.5126044510131,178.12759051449,2.21350931378821e-12,2.03927212054293e-10,"BraA05000076",1.93268763339483,4.5126044510131,173.950036867355,2.82735015875039e-12,9.0778888329901e-10,"13.95718","13.33362","45.13878","50.93172","AT2G48110","REF4","reduced epidermal fluorescence 4","-","-","Both_sig"
"BraA08002185",2.21738054942072,4.45016050266238,175.403712365366,2.59499106891499e-12,2.21722349883423e-10,"BraA08002185",1.95727697588965,4.45016050266238,105.839161237623,4.01183155287784e-10,1.93700087859807e-08,"11.43238","10.98998","52.97698","42.73768","AT4G26780","AR192","Co-chaperone GrpE family protein","-","-","Both_sig"
"BraA06002456",1.80824072663678,6.60694059198802,173.180166958897,2.95948391931185e-12,2.42616025468586e-10,"BraA06002456",1.66477295745872,6.60694059198802,111.589910170448,2.40783622856071e-10,1.34394830629594e-08," 58.34626"," 65.86608","204.40744","208.85224","AT3G48860","AT3G48860","coiled-coil protein","-","-","Both_sig"
"BraA06004753",2.69013021804769,7.47491060069458,172.211494024834,3.13535064748949e-12,2.50509742088754e-10,"BraA06004753",3.39053015853491,7.47491060069458,193.664473443289,9.29649159438347e-13,5.76498297802052e-10," 67.53023"," 57.42692","436.13952","602.36111","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-","Both_sig"
"BraA04001423",1.67100044346089,6.27092833937615,171.76560871126,3.22009046334088e-12,2.53421119464927e-10,"BraA04001423",1.72008767442276,6.27092833937615,136.686177361881,3.26742761112378e-11,3.89615989387033e-09," 50.25952"," 46.94806","160.10335","154.71015","AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-","Both_sig"
"BraA09002521",2.23076352411964,4.72553239971944,170.178504387427,3.54250679590696e-12,2.71995399841832e-10,"BraA09002521",2.5937252601975,4.72553239971944,169.152566940708,3.76948937734761e-12,1.05617747029557e-09,"14.05371","10.88196","66.26593","65.76199","AT3G11810","AT3G11810","transmembrane protein","-","-","Both_sig"
"BraA01001623",2.00924992548983,5.92895726807496,169.664077284555,3.65440695653195e-12,2.77715570695062e-10,"BraA01001623",1.84066683039285,5.92895726807496,108.628755183461,3.12300424628524e-10,1.63853622788432e-08," 35.09152"," 35.48739","141.22728","127.16414","AT4G24520","ATR1","P450 reductase 1","-","YES","Both_sig"
"BraA08001524",1.68645788651546,5.59594429028048,169.031293974799,3.79734749815477e-12,2.84620236290267e-10,"BraA08001524",1.51430418847234,5.59594429028048,103.85054728286,4.81217410929816e-10,2.11574358883668e-08," 31.26214"," 31.30880","100.81647"," 89.46519","AT5G53400","BOB1","HSP20-like chaperones superfamily protein","-","YES","Both_sig"
"BraA06001028",2.34403305742739,5.60335351294556,168.294249706241,3.97154088678478e-12,2.92112399803703e-10,"BraA06001028",2.58821979162308,5.60335351294556,152.483395123728,1.08650628584002e-11,2.08556206574658e-09," 22.90076"," 21.80729","116.32095","131.22935","AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-","Both_sig"
"BraA01004496",1.51668227533959,5.35438473820681,165.555479617077,4.69900979998914e-12,3.36192792053768e-10,"BraA01004496",1.54851832297865,5.35438473820681,130.808225310772,5.06276147672766e-11,5.07566023208238e-09,"25.77436","28.06261","73.73175","82.10068","AT3G06670","AT3G06670","binding protein","-","-","Both_sig"
"BraA07002547",2.10108214672524,5.46522088399089,164.92284582844,4.88687535861568e-12,3.43390259574155e-10,"BraA07002547",2.66744636630439,5.46522088399089,192.800149317472,9.73991273699867e-13,5.76498297802052e-10," 23.95057"," 19.79796","102.65771","125.81108","AT1G77310","AT1G77310","wound-responsive family protein","-","-","Both_sig"
"BraA07003320",2.79155364812969,7.11051689053182,163.394169767395,5.37537332439485e-12,3.71089368973574e-10,"BraA07003320",2.67125634672338,7.11051689053182,113.774743707498,1.99474061739818e-10,1.17592574224148e-08," 50.28474"," 59.91284","348.91238","381.70861","AT1G14400","UBC1","ubiquitin carrier protein 1","-","YES","Both_sig"
"BraA09005163",2.50637825955184,4.34940851519539,162.200318726334,5.79376697564839e-12,3.91390095264831e-10,"BraA09005163",2.69102031331468,4.34940851519539,140.500203780949,2.48047556000075e-11,3.30325902169541e-09," 8.984348"," 8.534937","51.452837","55.203482","AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-","Both_sig"
"BraA08002252",2.22982365139129,5.61876085325803,159.798018723263,6.74695712751498e-12,4.3702512422669e-10,"BraA08002252",2.39207579850656,5.61876085325803,137.107279835351,3.16849333650483e-11,3.86605310981288e-09," 26.29599"," 22.54571","123.54767","118.39313","AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-","Both_sig"
"BraA04002500",2.1333823490871,5.94986457190021,158.721800079452,7.22812009336359e-12,4.55082441078171e-10,"BraA04002500",2.33161678123456,5.94986457190021,141.426781006768,2.32212837829662e-11,3.20589107466297e-09," 30.69605"," 33.52368","134.85475","168.76386","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-","Both_sig"
"BraA03004700",2.83249877454796,4.89545924317281,157.676954476195,7.73110414681456e-12,4.77206193219063e-10,"BraA03004700",2.93021748683355,4.89545924317281,128.584761438818,6.00124395274033e-11,5.46538732881458e-09,"11.195407","12.256998","78.930894","93.558553","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-","Both_sig"
"BraA09000797",2.51770739208576,6.59498607023574,157.10291775738,8.02352511342244e-12,4.9140188826953e-10,"BraA09000797",2.44512448083877,6.59498607023574,112.265542300604,2.27095094095688e-10,1.28578301477199e-08," 44.09983"," 45.42635","252.69891","247.47496","AT5G62810","PEX14","peroxin 14","-","-","Both_sig"
"BraA01004324",1.97566776494228,5.62211897790823,156.939433850906,8.10898780167677e-12,4.92801034742827e-10,"BraA01004324",2.00806288001442,5.62211897790823,122.531110339867,9.66011884913273e-11,7.32263943499087e-09," 26.26002"," 28.26833","103.51981","113.74375","AT3G10770","AT3G10770","Single-stranded nucleic acid binding R3H protein","-","-","Both_sig"
"BraA08000907",2.2487816602062,5.73062769426859,156.815110446154,8.17464078072877e-12,4.94880176494888e-10,"BraA08000907",2.30466678597967,5.73062769426859,124.658967474801,8.15346466975463e-11,6.61523370628546e-09," 23.86347"," 29.15030","113.54576","144.05300","AT5G35180","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336)","-","-","Both_sig"
"BraA05002388",2.93960976315967,4.24597405098162,156.089003672611,8.56980461694166e-12,5.14655845132427e-10,"BraA05002388",2.72622856104833,4.24597405098162,104.742852067917,4.4334389566571e-10,2.05242144640537e-08," 7.036172"," 8.161251","54.566626","54.104034","AT1G32340","NHL8","NDR1/HIN1-like 8","-","-","Both_sig"
"BraA09006272",3.16134399590584,3.99251895355027,155.919887569933,8.6647902770072e-12,5.14655845132427e-10,"BraA09006272",2.87839964193901,3.99251895355027,104.231946505855,4.64615510529425e-10,2.08509075427644e-08," 4.076494"," 5.921567","36.520292","43.634545","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-","Both_sig"
"BraA08003682",1.89286142083284,6.96575599991027,155.558449502631,8.8716515808837e-12,5.22995490198912e-10,"BraA08003682",2.30837137043607,6.96575599991027,168.91279297929,3.82478499408179e-12,1.05617747029557e-09," 77.79757"," 61.22347","288.99053","303.31985","AT1G09770","CDC5","cell division cycle 5","YES","-","Both_sig"
"BraA03005909",2.86866971542375,8.04268726173098,154.452616354297,9.53858098760326e-12,5.5197523803263e-10,"BraA03005909",2.64932228261573,8.04268726173098,100.856366253325,6.36318667712567e-10,2.51885264143524e-08," 96.49264","124.20583","704.95773","779.27518","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-","Both_sig"
"BraA05002442",1.93456486701474,6.66934552718901,154.231394609429,9.67842899481078e-12,5.54029949841276e-10,"BraA05002442",2.19071914434452,6.66934552718901,146.27482437506,1.65420451000749e-11,2.57793851361564e-09," 61.09447"," 52.82840","233.35401","241.22450","AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-","Both_sig"
"BraA04000074",1.85906851912557,5.86685583568955,154.001903184576,9.82586171628464e-12,5.54333560624804e-10,"BraA04000074",1.47242154149256,5.86685583568955,74.8774949402488,1.00221070822458e-08,1.84285006395502e-07," 32.09814"," 43.42798","116.53176","120.54077","AT3G62290","ARFA1E","ADP-ribosylation factor A1E","-","-","Both_sig"
"BraA01003887",1.89846738554387,7.79894687867051,152.499473841283,1.08534533939978e-11,5.87056207634106e-10,"BraA01003887",1.95865521203047,7.79894687867051,121.475781964184,1.05173954003327e-10,7.61803703906325e-09,"128.4641","128.1848","478.9720","498.3036","AT3G16640","TCTP","translationally controlled tumor protein","-","YES","Both_sig"
"BraA04002275",2.48211000869358,5.52402102853855,152.069978223262,1.11682467320515e-11,5.93763425381607e-10,"BraA04002275",1.87558912030559,5.52402102853855,68.9144104613686,2.09520320387864e-08,3.16796334573005e-07," 19.41177"," 27.41640","108.82199","100.65975","AT2G31110","AT2G31110","trichome birefringence-like protein (DUF828)","-","-","Both_sig"
"BraA09002488",1.83121834356779,7.44627917090628,151.380195096428,1.1694762616652e-11,6.13585211953673e-10,"BraA09002488",1.83241685112174,7.44627917090628,113.855076196452,1.98109870212948e-10,1.17592574224148e-08,"106.79603"," 99.43417","380.19429","354.15626","AT2G02470","AL6","alfin-like 6","-","-","Both_sig"
"BraA08003387",2.37058200979781,6.00453946576054,150.821868697517,1.21406914027858e-11,6.26433892166595e-10,"BraA08003387",2.58657819385784,6.00453946576054,133.125794654314,4.25150794982474e-11,4.5717282261863e-09," 31.23251"," 27.60500","161.96519","165.88905","AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-","Both_sig"
"BraA03003103",1.60545737122526,6.08473860152338,150.562917026652,1.23537533305078e-11,6.31324926695433e-10,"BraA03003103",2.14096269205628,6.08473860152338,195.184704097852,8.56885063037144e-13,5.76498297802052e-10," 44.16340"," 35.94291","134.16987","158.60075","AT4G02080","SAR2","secretion-associated RAS super family 2","-","-","Both_sig"
