"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA09005075"	"AT3G55870"	"AT3G55870"	"ADC synthase superfamily protein"	"-"	"-"	-11.6232101709634	95.9163167199288	7.02995182646899e-10	1.06646071964032e-08
"BraA08003254"	"AT1G19050"	"ARR7"	"response regulator 7"	"-"	"YES"	-11.520414062166	97.3839035019538	6.06345122707379e-10	9.43342188422176e-09
"BraA07002742"	"AT1G72610"	"GER1"	"germin-like protein 1"	"-"	"-"	-11.2563579449668	248.563265078578	3.34403568978094e-14	4.79115074220183e-12
"BraA07003034"	"AT1G65980"	"TPX1"	"thioredoxin-dependent peroxidase 1"	"-"	"-"	-11.1019861944516	79.4416521921976	4.24662833991488e-09	4.79030860344774e-08
"BraA01000037"	"AT4G39250"	"RL1"	"RAD-like 1"	"YES"	"-"	-10.9208806850246	12.3903044271029	0.00202152833536882	0.00407746803824253
"BraA04002129"	"AT2G29300"	"AT2G29300"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-10.4149045040654	359.357872080434	3.45047543398784e-17	6.55006994694819e-14
"BraA02001944"	"AT5G36910"	"THI2.2"	"thionin 2.2"	"-"	"-"	-10.2157048075449	109.158449231529	8.44064375737052e-10	1.24262828613378e-08
"BraA04000048"	"AT3G62930"	"AT3G62930"	"Thioredoxin superfamily protein"	"-"	"-"	-10.0665910991581	43.4440751897844	1.5404729969681e-06	7.21862089921715e-06
"BraA01004368"	"AT3G10185"	"AT3G10185"	"Gibberellin-regulated family protein"	"-"	"-"	-9.76516856697516	76.3138293497405	6.17313180734168e-09	6.51836331159619e-08
"BraA08002336"	"AT1G75250"	"RL6"	"RAD-like 6"	"YES"	"-"	-9.58522418699812	46.9361019207724	8.73786093181469e-07	4.42259638619972e-06
"BraA04001511"	"AT2G21140"	"PRP2"	"proline-rich protein 2"	"-"	"-"	-9.55188528158724	66.0808578495678	9.56852829596584e-09	9.38866865620412e-08
"BraA10000147"	"AT3G05560"	"AT3G05560"	"Ribosomal L22e protein family"	"-"	"-"	-9.5493212772753	46.6782712508567	4.45929171107698e-07	2.47160894054408e-06
"BraA06003067"	"AT5G62920"	"ARR6"	"response regulator 6"	"-"	"YES"	-9.54517395039857	68.0816598288006	7.14635138442785e-09	7.35470275577666e-08
"BraA01002846"	"AT1G62510"	"AT1G62510"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"-"	"-"	-9.53187836986099	217.068351214841	1.83936531384074e-14	2.97412545683352e-12
"BraA03004070"	"AT3G17700"	"CNBT1"	"cyclic nucleotide-binding transporter 1"	"-"	"-"	-9.5236568097763	14.3837487381883	0.000882891926352199	0.00195417275694292
"BraA01004807"	"AT3G01500"	"CA1"	"carbonic anhydrase 1"	"-"	"-"	-9.4373492557848	162.324603151658	5.84292750027999e-13	3.928920666676e-11
"BraA05001640"	"AT5G37300"	"WSD1"	"O-acyltransferase (WSD1-like) family protein"	"-"	"-"	-9.37870228768129	103.023799141486	3.41014786042585e-10	5.82648879566603e-09
"BraA04003129"	"AT2G43550"	"AT2G43550"	"scorpion toxin-like knottin superfamily protein"	"-"	"-"	-9.37712449262671	208.948787477299	2.91500260900858e-14	4.37669672548473e-12
"BraA09003371"	"AT1G33340"	"AT1G33340"	"ENTH/ANTH/VHS superfamily protein"	"-"	"-"	-9.25938825980291	96.7372459847765	6.256203270128e-10	9.65782888567289e-09
"BraA08001979"	"AT4G29690"	"AT4G29690"	"Alkaline-phosphatase-like family protein"	"-"	"-"	-9.24416522767741	24.5699226683963	4.58049991735692e-05	0.000141260366906376
"BraA09002998"	"AT4G12030"	"BAT5"	"bile acid transporter 5"	"-"	"-"	-9.24365598001293	40.4046697469983	1.39681312404848e-06	6.62557179531586e-06
"BraA03001465"	"AT2G18770"	"AT2G18770"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	-9.19820517791791	41.5172717071977	1.13153107568595e-06	5.54285870617022e-06
"BraA07000203"	"AT2G18770"	"AT2G18770"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	-9.17567732757861	42.6464977404537	9.17170122157666e-07	4.61236206648731e-06
"BraA02002954"	"AT4G00165"	"AT4G00165"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"-"	"-"	-9.15415751225193	197.15913194823	5.85675784337389e-14	7.25666501021498e-12
"BraSca001140"	"AT2G18770"	"AT2G18770"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	-9.10382275326856	42.8273190936309	8.87138526184216e-07	4.48189989225264e-06
"BraA01003459"	"AT3G21460"	"AT3G21460"	"Glutaredoxin family protein"	"-"	"-"	-9.09700275769158	166.26596757954	1.50620881023281e-11	4.84129081072044e-10
