"gene.ID","logFC","logCPM","F","PValue","FDR","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",-3.33802742588993,9.02298276289129,404.575535408555,3.77151483201946e-14,5.01012467361739e-11,"AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA05002388",-2.99872482028442,4.23116783718953,350.21401443505,1.37255947288444e-13,8.21909037192601e-11,"AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA06001302",-4.44325605247745,8.94524010573522,342.493963550501,1.67440809250726e-13,9.28179732966476e-11,"AT1G09570","PHYA","phytochrome A","-","YES"
"BraA05000169",-5.41555123395827,3.96511012179278,292.922382380451,6.70828212080421e-13,2.10407132130724e-10,"AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10002966",-2.55966863587737,6.14769878846904,272.289695729804,1.27763562908328e-12,2.85058039241848e-10,"AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-"
"BraA01003391",-2.51585156822337,9.25736812698337,260.083806829966,1.911871479776e-12,3.69789279451928e-10,"AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA09004665",-1.85396005261961,6.66730261932906,260.022408773215,1.91583694353609e-12,3.69789279451928e-10,"AT3G52660","AT3G52660","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA03003847",-2.30935255721374,4.40653205886247,251.924923727588,2.52820769736525e-12,4.45437998088416e-10,"AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA08003387",-2.34832213977201,5.98751722231123,248.746515470616,2.82543050432081e-12,4.80110729642094e-10,"AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA10001974",-2.55062657703315,6.10260830136812,242.331816064947,3.55047297342206e-12,5.60701616495037e-10,"AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-"
"BraA03003709",-4.65273802346735,4.46833481680088,225.001740540232,6.77712548537176e-12,8.52291834566381e-10,"AT3G10985","SAG20","senescence associated gene 20","-","YES"
