"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","phyB.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003391",2.74695843964582,9.27127566181737,258.216038323768,4.45451136351407e-14,1.16856681436186e-10,FALSE," 283.8053","1905.2715","BraA01003391","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA03003103",2.14096269205628,6.08473860152338,195.184704097852,8.56885063037144e-13,5.76498297802052e-10,FALSE," 35.94291","158.60075","BraA03003103","AT4G02080","SAR2","secretion-associated RAS super family 2","-","-"
"BraA06004753",3.39053015853491,7.47491060069458,193.664473443289,9.29649159438347e-13,5.76498297802052e-10,FALSE," 57.42692","602.36111","BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA07002547",2.66744636630439,5.46522088399089,192.800149317472,9.73991273699867e-13,5.76498297802052e-10,FALSE," 19.79796","125.81108","BraA07002547","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA08003963",3.05590130801144,8.81343900393063,185.080838193842,1.4892893649201e-12,7.10345897086132e-10,FALSE," 152.5330","1268.5787","BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA10003048",2.94146979981885,6.99726568667803,181.50089508961,1.82328064762446e-12,7.97178816489139e-10,FALSE," 51.40476","394.96062","BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA05003779",3.08258291689577,9.03659979005788,174.71579685498,2.70225443105433e-12,8.86114265516564e-10,FALSE," 181.3535","1536.4011","BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA05000076",1.93268763339483,4.5126044510131,173.950036867355,2.82735015875039e-12,9.0778888329901e-10,FALSE,"13.33362","50.93172","BraA05000076","AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA09002521",2.5937252601975,4.72553239971944,169.152566940708,3.76948937734761e-12,1.05617747029557e-09,FALSE,"10.88196","65.76199","BraA09002521","AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA08003682",2.30837137043607,6.96575599991027,168.91279297929,3.82478499408179e-12,1.05617747029557e-09,FALSE," 61.22347","303.31985","BraA08003682","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA10001764",2.82081950869515,4.98540881332063,160.195889171987,6.57797926413144e-12,1.66995796157143e-09,FALSE,"12.80682","90.57032","BraA10001764","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-"
"BraA07002414",2.78811481858262,6.12365688119556,155.705437279293,8.78688619748326e-12,1.9209109548387e-09,FALSE," 33.68100","232.76150","BraA07002414","AT1G80490","TPR1","TOPLESS-related 1","-","-"
"BraA05003854",2.06296900833923,5.38170373857318,154.227678632833,9.68079703036754e-12,2.0186794208036e-09,FALSE,"23.67049","98.94629","BraA05003854","AT3G12680","HUA1","floral homeotic protein (HUA1)","YES","-"
"BraA06001028",2.58821979162308,5.60335351294556,152.483395123728,1.08650628584002e-11,2.08556206574658e-09,FALSE," 21.80729","131.22935","BraA06001028","AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-"
"BraA09000642",1.84224787232897,7.32596330713712,147.846355524177,1.48508419003749e-11,2.41689944857125e-09,FALSE," 93.70652","336.02006","BraA09000642","AT5G25060","RRC1","RNA recognition motif (RRM)-containing protein","-","YES"
"BraA05002442",2.19071914434452,6.66934552718901,146.27482437506,1.65420451000749e-11,2.57793851361564e-09,FALSE," 52.82840","241.22450","BraA05002442","AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-"
"BraA09001152",2.58461008857806,3.32790362319869,145.840380844574,1.70456900633608e-11,2.60484622909999e-09,FALSE," 4.361094","26.212995","BraA09001152","AT2G17420","NTRA","NADPH-dependent thioredoxin reductase A","-","-"
"BraA09006846",2.44595626228249,4.75854330948469,145.262373158871,1.77417574532943e-11,2.68514675302742e-09,FALSE,"11.16128","60.85430","BraA09006846","AT1G04590","AT1G04590","PPR containing-like protein","-","-"
"BraA08003565",3.21847408892721,5.34209285737446,143.58907316981,1.99368877303298e-11,2.93277208294758e-09,FALSE," 13.36102","124.52015","BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA07001107",1.92644689665681,6.48865119769337,142.244362087601,2.19150309605958e-11,3.07984452964087e-09,FALSE," 53.69559","204.11062","BraA07001107","AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA04002500",2.33161678123456,5.94986457190021,141.426781006768,2.32212837829662e-11,3.20589107466297e-09,FALSE," 33.52368","168.76386","BraA04002500","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA07000905",4.59056871563826,6.67377805132086,141.400329463756,2.32649339331238e-11,3.20589107466297e-09,FALSE," 14.59307","351.95769","BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA09001972",1.81866600962293,6.72295527627631,140.718092855147,2.44221225349386e-11,3.29779991980488e-09,FALSE," 66.21053","233.57052","BraA09001972","AT1G56290","AT1G56290","CwfJ-like family protein","-","-"
"BraA09005163",2.69102031331468,4.34940851519539,140.500203780949,2.48047556000075e-11,3.30325902169541e-09,FALSE," 8.534937","55.203482","BraA09005163","AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-"
"BraA06000263",2.05796845628545,5.36930734154813,140.405094472564,2.4973813442297e-11,3.30325902169541e-09,FALSE,"23.00465","95.81481","BraA06000263","AT5G45190","AT5G45190","Cyclin family protein","-","YES"
"BraA03000536",3.18565581832168,4.03829534720179,139.339744891537,2.6955431969165e-11,3.50643387764179e-09,FALSE," 5.062831","46.148943","BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA02002078",1.80882977242729,5.54351058285503,138.448746228908,2.87441335492139e-11,3.62978843277476e-09,FALSE," 30.04547","105.29760","BraA02002078","AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA07003945",2.22168815669062,3.87862863101748,137.593210826846,3.05835400463445e-11,3.79043244353907e-09,FALSE," 7.128426","33.300474","BraA07003945","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA08002252",2.39207579850656,5.61876085325803,137.107279835351,3.16849333650483e-11,3.86605310981288e-09,FALSE," 22.54571","118.39313","BraA08002252","AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-"
"BraA04001423",1.72008767442276,6.27092833937615,136.686177361881,3.26742761112378e-11,3.89615989387033e-09,FALSE," 46.94806","154.71015","BraA04001423","AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
"BraA06002912",2.83052689682726,6.73669791724269,134.199058599648,3.92466467393563e-11,4.44418863077315e-09,FALSE," 45.83532","326.15269","BraA06002912","AT3G49490","AT3G49490","hypothetical protein","-","-"
"BraA08002505",2.44171343391282,3.62868748060632,133.918611195636,4.00734982816149e-11,4.47345292874197e-09,FALSE," 6.102333","33.219208","BraA08002505","AT4G38910","BPC5","basic pentacysteine 5","YES","-"
"BraA04002996",3.49788528646266,8.45776794572992,133.378190735872,4.17207041763057e-11,4.5717282261863e-09,FALSE,"  62.95631"," 711.26495","BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA08003387",2.58657819385784,6.00453946576054,133.125794654314,4.25150794982474e-11,4.5717282261863e-09,FALSE," 27.60500","165.88905","BraA08003387","AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA03003841",2.59196227230436,5.32922994809062,132.613829576798,4.41773368840501e-11,4.66678713124126e-09,FALSE," 17.28476","104.28301","BraA03003841","AT3G13340","AT3G13340","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA07001790",1.69993774093448,7.0823910640279,132.374141389709,4.49797083517588e-11,4.71987072971123e-09,FALSE," 89.46046","290.66326","BraA07001790","AT2G26990","FUS12","proteasome family protein","-","-"
"BraA02003047",2.94079352479995,5.1888707652565,131.754092960652,4.71297475511374e-11,4.88040938457173e-09,FALSE," 14.59712","112.18025","BraA02003047","AT4G12400","Hop3","stress-inducible protein","-","-"
"BraA01001678",2.19032071895521,6.02107460291512,131.585608651554,4.77330809679858e-11,4.89193143162478e-09,FALSE," 33.57833","153.33109","BraA01001678","AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-"
"BraA01004496",1.54851832297865,5.35438473820681,130.808225310772,5.06276147672766e-11,5.07566023208238e-09,FALSE,"28.06261","82.10068","BraA01004496","AT3G06670","AT3G06670","binding protein","-","-"
"BraA09004695",2.25604608925747,5.53870984500409,130.176215967514,5.31214823222754e-11,5.16130945526306e-09,FALSE," 23.91559","114.29835","BraA09004695","AT3G53030","SRPK4","ser/arg-rich protein kinase 4","-","-"
"BraA07001630",2.77842263637745,4.6698964572499,128.661384001844,5.96592954930489e-11,5.46538732881458e-09,FALSE,"10.146391","69.758208","BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA03004700",2.93021748683355,4.89545924317281,128.584761438818,6.00124395274033e-11,5.46538732881458e-09,FALSE,"12.256998","93.558553","BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA06001483",2.37359096789121,5.62413240145452,128.013180194999,6.27195514816659e-11,5.6735962087438e-09,FALSE," 24.98081","129.48805","BraA06001483","AT1G11480","AT1G11480","eukaryotic translation initiation factor-like protein","-","-"
"BraA09006467",1.98991515635907,4.85050100912624,127.733719791401,6.40911631132052e-11,5.73178924660142e-09,FALSE,"16.48113","65.54480","BraA09006467","AT1G11890","SEC22","Synaptobrevin family protein","-","-"
