"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09006975",10.7223049242791,6.22321497600425,104.109271878677,4.69886503846365e-10,1.87774810088382e-06,FALSE,"  0.6107671"," 31.7842634","188.4547347","372.8097876","  1.3484011"," 21.4707522","BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA05000169",9.93121243151015,3.9802058742512,98.516718661509,7.95356997874689e-10,1.97877202841558e-06,FALSE," 0.3555444","17.8411356","32.1314755","55.2586527"," 0.7649085"," 8.9880126","BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA07003442",5.62366887202474,2.93479943804264,97.470709399968,8.80012973247083e-10,1.97877202841558e-06,FALSE," 2.210162","13.478868"," 4.091687","10.809349"," 4.456010","13.574037","BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"BraA03001901",5.82386445799513,3.97426904328825,84.495543311843,3.34090125224664e-09,5.84286507892913e-06,FALSE,"12.250137","38.424324"," 2.425789","10.246195"," 4.122593","17.254443","BraA03001901","AT2G34360","AT2G34360","MATE efflux family protein","-","-"
"BraA10000108",15.3230924230548,4.05508195465504,91.7248848842962,2.57475111299272e-08,2.02632912592527e-05,FALSE," 0.0000000","10.6704813","34.2721066","79.3765853"," 0.3891133"," 8.2901251","BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA06004817",6.04220457975227,7.58729946922456,46.414645688064,5.69840460228503e-07,0.000252509589593437,FALSE,"100.57462","391.18106"," 53.97252","355.06100","100.38985","257.57811","BraA06004817","AT1G54040","ESP","epithiospecifier protein","-","YES"
"BraA02000242",10.2736596711787,2.59540282621074,40.472148561678,1.64003957300652e-06,0.000573649397313834,FALSE," 0.03073537"," 3.57712292","17.82451389","17.91692997"," 0.09567083"," 1.71281535","BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA01002253",4.51784754127191,4.11768975492005,38.5072988009374,2.37921590387974e-06,0.000783612185353307,FALSE," 8.760700","38.891094","11.704708","13.668480"," 7.747671","33.962946","BraA01002253","AT5G48930","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","-","YES"
"BraA07003149",2.39391270794169,4.12608321335937,33.8181703296595,6.09020636605056e-06,0.00162474318985823,FALSE,"16.418258","25.793428"," 2.099148"," 3.548080","17.223934","32.788973","BraA07003149","AT4G01935","AT4G01935","insulin-induced protein","-","-"
"BraA07002023",2.53378334523037,6.99670285120533,26.2579153824464,3.33291577055956e-05,0.00749429917551536,FALSE," 85.038986","140.647945","  3.367264","  6.407719","204.390282","374.421482","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA05003570",1.95950285471689,5.02532437877014,25.9366130525388,3.60392761767103e-05,0.00777066037015645,FALSE,"14.18459","29.06078","24.53110","20.83187","43.92674","97.94362","BraA05003570","AT3G15430","AT3G15430","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA02001614",1.39223192670816,7.98328402135944,25.1620335784131,4.36114533977608e-05,0.00903216153264151,FALSE,"199.0353","272.4177","109.0109","136.2131","388.4522","595.9595","BraA02001614","AT5G53170","FTSH11","FTSH protease 11","-","-"
"BraA10002784",5.53419080982739,4.31973737676324,24.9341211240872,4.61571184081735e-05,0.00919636764233735,FALSE," 4.089213","30.432903","41.519128","39.961671"," 2.168632","14.527098","BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA05001365",2.52517032413396,4.07589954564091,24.6995516782434,4.89469952023735e-05,0.00962102953419649,FALSE,"10.088330","22.010583"," 7.096074","13.744258","19.446605","26.644399","BraA05001365","AT2G32440","KAO2","ent-kaurenoic acid hydroxylase 2","-","-"
"BraA01000355",4.45030755121778,4.75578675089195,24.6538992643909,4.95110160273136e-05,0.00962102953419649,FALSE,"16.330855","33.068926"," 8.680855","33.514900","24.957141","71.023822","BraA01000355","AT4G35090","CAT2","catalase 2","-","YES"
"BraA01003871",2.61740160261763,5.11773901166833,23.4026519089825,6.8089464398372e-05,0.0124619554608183,FALSE,"18.25274","47.22359","45.81528","52.78914","20.28751","41.75118","BraA01003871","AT3G16800","AT3G16800","Protein phosphatase 2C family protein","-","-"
