"","logFC","logCPM","F","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003307",3.99061136005681,7.54832030026296,893.587158700096,5.48028530014972e-17,7.27005872101546e-13,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA06003490",4.75811927567019,5.42720666598845,843.026736614537,9.24003396163633e-17,7.27005872101546e-13,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04003076",6.09675156781576,9.0473078800141,770.476473747562,2.06852912611718e-16,1.08501247761933e-12,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA05000981",3.70650752758688,5.84221536766257,734.405197711838,3.17587013288638e-16,1.21210752947662e-12,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA03000987",3.33772517143938,5.37923091018813,718.723290856385,3.85138386335989e-16,1.21210752947662e-12,"BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA04002129",10.1216238200018,5.28808288449976,592.712478799161,2.1459120550167e-15,4.82401029967754e-12,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",3.66989589668553,5.66613985629307,512.650788761222,7.77211334820253e-15,1.35891084052572e-11,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05003669",5.08429784727154,9.02358089320358,502.658682099496,9.25031416571214e-15,1.35902877257774e-11,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA04002623",3.06026111894433,6.76264702167618,501.146458249936,9.50007403301672e-15,1.35902877257774e-11,"BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA06002244",3.35286497856627,6.54109854976873,491.303851385728,1.13206334294968e-14,1.48451239705468e-11,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA04002534",4.05975340482462,6.28202375223866,450.629409848769,2.42656419243433e-14,2.57587598446318e-11,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA07003967",7.85461749307366,9.84821953441847,450.025524852139,2.4553977991197e-14,2.57587598446318e-11,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA02001698",5.04816837809799,6.14441073967392,440.223656454979,2.98077981563684e-14,2.93159694867883e-11,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA03000453",3.14128657694252,6.77597677380701,427.504748888339,3.857700355914e-14,3.19498804214014e-11,"BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA09001106",6.81676391830795,10.6147158424767,418.132566813356,4.68733030412335e-14,3.5123728412231e-11,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
