"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-6.06969179286405,2.9992833096493,3.14158311692398e-51,4.94485182603835e-47,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10000108",-9.56597488906373,2.09908462448573,6.21866685198507e-42,4.89409081251225e-38,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA09006975",-5.88801594009056,3.33522248139265,2.92318648687027e-37,1.15027388258345e-33,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA06004817",-2.13178864522837,7.63242037938348,6.47218354152611e-34,2.03744337887242e-30,"BraA06004817",NA,NA,NA,NA,NA
"BraA07002639",-3.34385400457782,3.1426740004024,8.02540386449102e-31,1.80456938324412e-27,"BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA03002625",-3.32855598897305,2.81057284347983,1.12115812032618e-30,2.20587860174176e-27,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA07003442",-2.5757255354685,2.83222317356061,2.5271122278235e-25,3.61606786054018e-22,"BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"BraA10001437",-3.25101393381396,3.35194080849742,1.79588849158996e-22,2.17440652750969e-19,"BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA10002784",-2.34968538600927,3.90455647339157,5.57191988467447e-21,4.87233438804312e-18,"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA10001086",-2.90352791036772,6.42900630562236,3.29732817358477e-20,2.73157607643286e-17,"BraA10001086","AT5G55410","AT5G55410","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA10000910",-5.36193736041601,0.764263839279862,1.39721954852501e-19,1.09961178468918e-16,"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA07003439",-2.24980018654436,2.57837673290143,4.1860704792402e-18,2.86472823231482e-15,"BraA07003439","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein","-","-"
"BraA05002410",-2.5844323119946,2.49172292654797,7.70811218221373e-17,4.66637252877092e-14,"BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03002350",-2.1840409844785,5.11241151191719,7.73817604584095e-15,3.92899648263021e-12,"BraA03002350","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA03003380",-2.78206670709996,2.96821185138519,5.26176186578525e-14,2.17947715177526e-11,"BraA03003380","AT3G04720","PR4","pathogenesis-related 4","-","-"
"BraA03002475",-2.24863185749079,4.02795467819081,5.74761397510009e-14,2.29214479423961e-11,"BraA03002475",NA,NA,NA,NA,NA
"BraA09002904",-2.32079668290251,3.24972018396394,2.29349442911671e-13,8.3952563521621e-11,"BraA09002904","AT4G08780","AT4G08780","Peroxidase superfamily protein","-","-"
"BraA09001289",-2.7207710839844,3.81790349436398,3.36821765902941e-13,1.20490331711643e-10,"BraA09001289","AT2G19800","MIOX2","myo-inositol oxygenase 2","-","-"
"BraA02000242",-3.43393242159487,1.31407524222925,8.01522069272318e-13,2.57468517762169e-10,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA01000918",-2.52365900472313,2.82231899763744,9.22545843154058e-13,2.90417431424897e-10,"BraA01000918",NA,NA,NA,NA,NA
"BraA04003065",-2.19199328671305,5.43126644503208,3.6077514647485e-12,1.01403585812752e-09,"BraA04003065","AT2G42840","PDF1","protodermal factor 1","-","YES"
"BraA03004240",-5.49364994586114,-0.0317732947324744,4.74760441275371e-12,1.28840161132316e-09,"BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA09005327",-2.58088162766562,2.5562539364954,4.9983620373401e-12,1.33346132996158e-09,"BraA09005327","AT3G60390","HAT3","homeobox-leucine zipper protein 3","YES","YES"
"BraA07002556",-3.12298228231966,4.60178575710692,3.17479327921314e-11,7.45839495743505e-09,"BraA07002556","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA03002404",-2.28775582303911,4.70672027141604,3.49698008634524e-11,8.09448037633442e-09,"BraA03002404","AT2G43570","CHI","chitinase","-","YES"
"BraA03002351",-2.66356916384228,6.02385560884004,2.39053354312744e-10,4.88662311283454e-08,"BraA03002351","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA03002626",-3.68669491202253,0.949816045651141,2.78728010001056e-10,5.62458830438029e-08,"BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA07003741",-4.01035262303437,3.84285955614849,4.11943743799016e-10,8.00493151530433e-08,"BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA02004423",-2.01227129558223,1.78846170184521,2.32386579225355e-09,3.62154926436345e-07,"BraA02004423","AT5G64260","EXL2","EXORDIUM like 2","-","YES"
"BraA08002297",-3.58194831045803,3.24873575440333,2.75585418088273e-09,4.21137328224215e-07,"BraA08002297","AT4G35720","AT4G35720","DUF241 domain protein, putative (DUF241)","-","-"
"BraA05000869",-2.0704836788547,3.87541591491221,2.99288451882764e-09,4.5296156083026e-07,"BraA05000869","AT2G38470","WRKY33","WRKY DNA-binding protein 33","YES","-"
"BraA06002102",-2.69890209049743,4.07122645569126,3.3724790290319e-09,5.05550665875829e-07,"BraA06002102","AT1G19320","AT1G19320","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA03003074",-2.3761533216643,3.47443689882179,3.74727771848652e-08,4.33692288889542e-06,"BraA03003074","AT4G02520","GSTF2","glutathione S-transferase PHI 2","-","-"
"BraA02001685",-2.10460302558233,7.42620821167952,1.71170606513866e-07,1.64282033324893e-05,"BraA02001685",NA,NA,NA,NA,NA
"BraA04000504",-3.44932180215663,-0.201101526052292,4.25822065877379e-07,3.5651272962287e-05,"BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA03003317",-2.23158050140098,1.49551798285629,4.48893761772988e-07,3.6992606336685e-05,"BraA03003317","AT3G02840","AT3G02840","ARM repeat superfamily protein","-","-"
"BraA06002902",-2.38174403435423,3.69107133210706,6.17586202217331e-07,4.74185698678087e-05,"BraA06002902","AT3G49240","emb1796","Pentatricopeptide repeat (PPR) superfamily protein","-","YES"
"BraA05003225",-3.00214712094304,0.13549170687711,2.02154620769678e-06,0.000132530768494528,"BraA05003225","AT1G74590","GSTU10","glutathione S-transferase TAU 10","-","-"
"BraA02002963",-2.23661760611441,5.56627688652776,2.26460606719976e-06,0.000144311333998883,"BraA02002963","AT4G02550","AT4G02550","Myb/SANT-like DNA-binding domain protein","-","-"
"BraA01000945",-6.88110782647254,0.407131235536383,2.40707890278463e-06,0.000152158321003334,"BraA01000945","AT4G28720","YUC8","Flavin-binding monooxygenase family protein","-","YES"
